Year,Units,Location,Sex,Age,Value
2015.0,%,,,,29.8
2016.0,%,,,,29.4
,,,,,25.7
2015.0,%,urban,,,29.4
2016.0,%,urban,,,28.8
2017.0,,urban,,,25.0
2015.0,%,rural,,,30.4
2016.0,%,rural,,,30.4
2017.0,,rural,,,26.8
2015.0,%,,female,,30.1
2016.0,%,,female,,30.2
2017.0,,,female,,26.3
2015.0,%,,female,age 0 to 4,37.3
2016.0,%,,female,age 0 to 4,35.0
2017.0,,,female,age 0 to 4,32.3
2015.0,%,,female,age 5 to 9,33.7
2016.0,%,,female,age 5 to 9,35.7
2017.0,,,female,age 5 to 9,32.7
2015.0,%,,female,age 10 to 14,31.7
2016.0,%,,female,age 10 to 14,34.9
2017.0,,,female,age 10 to 14,30.3
2015.0,%,,female,age 15 to 19,38.2
2016.0,%,,female,age 15 to 19,38.3
2017.0,,,female,age 15 to 19,32.5
2015.0,%,,female,age 20 to 24,31.1
2016.0,%,,female,age 20 to 24,32.6
2017.0,,,female,age 20 to 24,25.6
2015.0,%,,male,,29.5
2016.0,%,,male,,28.5
2017.0,,,male,,25.0
2015.0,%,,male,age 0 to 4,32.3
2016.0,%,,male,age 0 to 4,33.3
2017.0,,,male,age 0 to 4,30.7
2015.0,%,,male,age 5 to 9,33.1
2016.0,%,,male,age 5 to 9,32.5
2017.0,,,male,age 5 to 9,29.4
2015.0,%,,male,age 10 to 14,31.1
2016.0,%,,male,age 10 to 14,30.8
2017.0,,,male,age 10 to 14,26.3
2015.0,%,,male,age 15 to 19,33.4
2016.0,%,,male,age 15 to 19,35.4
2017.0,,,male,age 15 to 19,33.1
2015.0,%,,male,age 20 to 24,29.7
2016.0,%,,male,age 20 to 24,27.0
2017.0,,,male,age 20 to 24,22.1
