Year,Units,Category,Value
2015,%,a) national parliaments,10.7
2016,%,a) national parliaments,9.9
2017,%,a) national parliaments,18.1
2018,%,a) national parliaments,19.0
2019,%,a) national parliaments,23.0
2020,%,a) national parliaments,22.7
2015,%,b) local governments,8.7
2016,%,b) local governments,10.8
2017,%,b) local governments,9.4
2018,%,b) local governments,9.0
2019,%,b) local governments,9.0
2020,%,b) local governments,9.1
2021,%,b) local governments,24.7
2021,%,a) national parliaments,35.5
2022,%,a) national parliaments,35.5
2022,%,b) local governments,28.0
2023,%,a) national parliaments,36.4
2023,%,b) local governments,27.8
2024,%,a) national parliaments,38.3
2024,%,b) local governments,25.2
