Year,Units,Category,Age,Sex,Location,Value
2015,%,total,aged 15-75 years,,,18.5
2016,%,total,aged 15-75 years,,,18.0
2017,%,total,aged 15-75 years,,,17.8
2018,%,total,aged 15-75 years,,,19.0
2019,%,total,aged 15-75 years,,,18.3
2020,%,total,15-74 age,,,18.2
2020,%,total,15+ age,,,18.1
2015,%,,aged 15-75 years,male,,17.6
2016,%,,aged 15-75 years,male,,18.1
2017,%,,aged 15-75 years,male,,18.0
2018,%,,aged 15-75 years,male,,17.9
2019,%,,aged 15-75 years,male,,17.5
2020,%,,15-74 age,male,,19.1
2020,%,,15+ age,male,,19.0
2015,%,,aged 15-75 years,female,,19.5
2016,%,,aged 15-75 years,female,,17.8
2017,%,,aged 15-75 years,female,,17.5
2018,%,,aged 15-75 years,female,,20.4
2019,%,,aged 15-75 years,female,,19.3
2020,%,,15-74 age,female,,17.2
2020,%,,15+ age,female,,17.1
2015,%,,aged 15-75 years,,urban,27.0
2016,%,,aged 15-75 years,,urban,26.8
2017,%,,aged 15-75 years,,urban,25.4
2018,%,,aged 15-75 years,,urban,24.9
2019,%,,aged 15-75 years,,urban,22.6
2020,%,,15-74 age,,urban,22.3
2020,%,,15+ age,,urban,22.2
2015,%,,aged 15-75 years,,rural,6.7
2016,%,,aged 15-75 years,,rural,5.7
2017,%,,aged 15-75 years,,rural,7.4
2018,%,,aged 15-75 years,,rural,11.3
2019,%,,aged 15-75 years,,rural,11.4
2020,%,,15-74 age,,rural,12.1
2020,%,,15+ age,,rural,12.0
2015,%,total,aged 15-24 years,,,32.5
2016,%,total,aged 15-24 years,,,36.6
2017,%,total,aged 15-24 years,,,38.4
2018,%,total,aged 15-24 years,,,33.5
2019,%,total,aged 15-24 years,,,32.6
2020,%,total,aged 15-24 years,,,32.3
2015,%,,aged 15-24 years,male,,28.6
2016,%,,aged 15-24 years,male,,29.8
2017,%,,aged 15-24 years,male,,33.1
2018,%,,aged 15-24 years,male,,29.0
2019,%,,aged 15-24 years,male,,31.2
2020,%,,aged 15-24 years,male,,31.6
2015,%,,aged 15-24 years,female,,37.2
2016,%,,aged 15-24 years,female,,46.0
2017,%,,aged 15-24 years,female,,45.0
2018,%,,aged 15-24 years,female,,39.0
2019,%,,aged 15-24 years,female,,34.4
2020,%,,aged 15-24 years,female,,33.3
2015,%,,aged 15-24 years,,urban,42.5
2016,%,,aged 15-24 years,,urban,50.1
2017,%,,aged 15-24 years,,urban,48.8
2018,%,,aged 15-24 years,,urban,42.3
2019,%,,aged 15-24 years,,urban,39.2
2020,%,,aged 15-24 years,,urban,35.4
2015,%,,aged 15-24 years,,rural,18.9
2016,%,,aged 15-24 years,,rural,19.5
2017,%,,aged 15-24 years,,rural,22.2
2018,%,,aged 15-24 years,,rural,23.2
2019,%,,aged 15-24 years,,rural,22.5
2020,%,,aged 15-24 years,,rural,27.8
2015,%,with disabilities,aged 15-75 years,,,15.7
2016,%,with disabilities,aged 15-75 years,,,18.9
2017,%,with disabilities,aged 15-75 years,,,14.1
2018,%,with disabilities,aged 15-75 years,,,17.7
2019,%,with disabilities,aged 15-75 years,,,17.7
2020,%,with disabilities,aged 15-75 years,,,13.7
2021,%,total,aged 15-24 years,,,30.5
2021,%,,aged 15-24 years,male,,28.2
2021,%,,aged 15-24 years,female,,33.6
2021,%,,aged 15-24 years,,urban,39.8
2021,%,,aged 15-24 years,,rural,18.7
2021,%,total,15-74 age,,,15.5
2021,%,,15-74 age,male,,15.7
2021,%,,15-74 age,female,,15.2
2021,%,,15-74 age,,urban,20.3
2021,%,,15-74 age,,rural,8.8
2021,%,total,15+ age,,,15.4
2021,%,,15+ age,male,,15.6
2021,%,,15+ age,female,,15.2
2021,%,,15+ age,,urban,20.2
2021,%,,15+ age,,rural,8.7
2021,%,with disabilities,15-74 age,,,15.4
