Year,Units,Category,Age,Sex,Location,Value
2015,%,total,aged 15-29 years,,,34.5
2016,%,total,aged 15-29 years,,,34.6
2017,%,total,aged 15-29 years,,,34.6
2018,%,total,aged 15-29 years,,,32.7
2019,%,total,aged 15-29 years,,,31.0
2020,%,total,aged 15-29 years,,,31.0
2015,%,,aged 15-29 years,male,,23.5
2016,%,,aged 15-29 years,male,,22.7
2017,%,,aged 15-29 years,male,,23.4
2018,%,,aged 15-29 years,male,,21.2
2019,%,,aged 15-29 years,male,,20.8
2020,%,,aged 15-29 years,male,,22.6
2015,%,,aged 15-29 years,female,,44.6
2016,%,,aged 15-29 years,female,,46.5
2017,%,,aged 15-29 years,female,,45.9
2018,%,,aged 15-29 years,female,,44.0
2019,%,,aged 15-29 years,female,,41.6
2020,%,,aged 15-29 years,female,,39.9
2015,%,,aged 15-29 years,,urban,36.1
2016,%,,aged 15-29 years,,urban,35.7
2017,%,,aged 15-29 years,,urban,35.9
2018,%,,aged 15-29 years,,urban,30.8
2019,%,,aged 15-29 years,,urban,30.2
2020,%,,aged 15-29 years,,urban,28.0
2015,%,,aged 15-29 years,,rural,32.2
2016,%,,aged 15-29 years,,rural,32.9
2017,%,,aged 15-29 years,,rural,32.7
2018,%,,aged 15-29 years,,rural,34.9
2019,%,,aged 15-29 years,,rural,32.2
2020,%,,aged 15-29 years,,rural,34.9
2015,%,total,aged 15-19 years,,,13.1
2016,%,total,aged 15-19 years,,,14.2
2017,%,total,aged 15-19 years,,,15.6
2018,%,total,aged 15-19 years,,,11.3
2019,%,total,aged 15-19 years,,,8.6
2020,%,total,aged 15-19 years,,,9.5
2015,%,,aged 15-19 years,male,,9.8
2016,%,,aged 15-19 years,male,,11.3
2017,%,,aged 15-19 years,male,,12.0
2018,%,,aged 15-19 years,male,,7.3
2019,%,,aged 15-19 years,male,,5.4
2020,%,,aged 15-19 years,male,,6.8
2015,%,,aged 15-19 years,female,,16.6
2016,%,,aged 15-19 years,female,,17.7
2017,%,,aged 15-19 years,female,,20.2
2018,%,,aged 15-19 years,female,,14.9
2019,%,,aged 15-19 years,female,,12.3
2020,%,,aged 15-19 years,female,,12.4
2015,%,,aged 15-19 years,,urban,14.0
2016,%,,aged 15-19 years,,urban,13.4
2017,%,,aged 15-19 years,,urban,14.8
2018,%,,aged 15-19 years,,urban,9.5
2019,%,,aged 15-19 years,,urban,6.7
2020,%,,aged 15-19 years,,urban,10.2
2015,%,,aged 15-19 years,,rural,12.0
