Year,Value,Units,Series
2015,492.924,millions of current United States dollars,"Total assistance for development, by recipient countries"
2016,703.087,millions of current United States dollars,"Total assistance for development, by recipient countries"
2017,502.668,millions of current United States dollars,"Total assistance for development, by recipient countries"
2018,386.577,millions of current United States dollars,"Total assistance for development, by recipient countries"
2019,705.498,millions of current United States dollars,"Total assistance for development, by recipient countries"
2020,151.223,millions of current United States dollars,"Total assistance for development, by recipient countries"
2021,275.312,millions of current United States dollars,"Total assistance for development, by recipient countries"
2022,552.696,millions of current United States dollars,"Total assistance for development, by recipient countries"
2023,126.93,millions of current United States dollars,"Total assistance for development, by recipient countries"
2024,479.529,millions of current United States dollars,"Total assistance for development, by recipient countries"
