Year,Value,Units
2015,1,"1=compliant, 0=partially compliantF"
2016,1,"1=compliant, 0=partially compliantF"
2017,1,"1=compliant, 0=partially compliantF"
2018,1,"1=compliant, 0=partially compliantF"
2015,1,"1=compliant, 0=partially compliantF"
2016,1,"1=compliant, 0=partially compliantF"
2017,1,"1=compliant, 0=partially compliantF"
2018,1,"1=compliant, 0=partially compliantF"
2019,1,"1=compliant, 0=partially compliantF"
2020,1,"1=compliant, 0=partially compliantF"
2021,1,"1=compliant, 0=partially compliantF"
2022,1,"1=compliant, 0=partially compliantF"
2023,1,"1=compliant, 0=partially compliantF"
2024,1,"1=compliant, 0=partially compliantF"
