Year,Value,Units,Series
2010,19729128.0,USD,Amount of tracked exported Environmentally Sound Technologies
2011,17601676.0,USD,Amount of tracked exported Environmentally Sound Technologies
2012,18501042.0,USD,Amount of tracked exported Environmentally Sound Technologies
2013,24104887.0,USD,Amount of tracked exported Environmentally Sound Technologies
2014,22295597.0,USD,Amount of tracked exported Environmentally Sound Technologies
2015,17474495.0,USD,Amount of tracked exported Environmentally Sound Technologies
2016,23322041.0,USD,Amount of tracked exported Environmentally Sound Technologies
2017,29123447.3,USD,Amount of tracked exported Environmentally Sound Technologies
2018,32180263.7,USD,Amount of tracked exported Environmentally Sound Technologies
2019,47427293.0,USD,Amount of tracked exported Environmentally Sound Technologies
2020,30338376.1,USD,Amount of tracked exported Environmentally Sound Technologies
2021,34883781.8,USD,Amount of tracked exported Environmentally Sound Technologies
2022,102063223.8,USD,Amount of tracked exported Environmentally Sound Technologies
2023,128675175.4,USD,Amount of tracked exported Environmentally Sound Technologies
2024,110363475.7,USD,Amount of tracked exported Environmentally Sound Technologies
2010,229483676.0,USD,Amount of tracked imported Environmentally Sound Technologies
2011,174337163.0,USD,Amount of tracked imported Environmentally Sound Technologies
2012,177370787.0,USD,Amount of tracked imported Environmentally Sound Technologies
2013,238356795.0,USD,Amount of tracked imported Environmentally Sound Technologies
2014,240982150.0,USD,Amount of tracked imported Environmentally Sound Technologies
2015,161357732.0,USD,Amount of tracked imported Environmentally Sound Technologies
2016,165319783.0,USD,Amount of tracked imported Environmentally Sound Technologies
2017,216430808.2,USD,Amount of tracked imported Environmentally Sound Technologies
2018,291616633.7,USD,Amount of tracked imported Environmentally Sound Technologies
2019,284135254.4,USD,Amount of tracked imported Environmentally Sound Technologies
2020,343301048.0,USD,Amount of tracked imported Environmentally Sound Technologies
2021,344367925.1,USD,Amount of tracked imported Environmentally Sound Technologies
2022,367618683.5,USD,Amount of tracked imported Environmentally Sound Technologies
2023,426809065.0,USD,Amount of tracked imported Environmentally Sound Technologies
2024,450667538.1,USD,Amount of tracked imported Environmentally Sound Technologies
2010,3114851.0,USD,Amount of tracked re-exported Environmentally Sound Technologies
2011,5384076.0,USD,Amount of tracked re-exported Environmentally Sound Technologies
2012,4630692.0,USD,Amount of tracked re-exported Environmentally Sound Technologies
2013,4046070.0,USD,Amount of tracked re-exported Environmentally Sound Technologies
2014,4794390.0,USD,Amount of tracked re-exported Environmentally Sound Technologies
2015,3395509.0,USD,Amount of tracked re-exported Environmentally Sound Technologies
2016,2199306.0,USD,Amount of tracked re-exported Environmentally Sound Technologies
2017,4679074.3,USD,Amount of tracked re-exported Environmentally Sound Technologies
2018,2837749.1,USD,Amount of tracked re-exported Environmentally Sound Technologies
2019,2850361.8,USD,Amount of tracked re-exported Environmentally Sound Technologies
2020,1749894.2,USD,Amount of tracked re-exported Environmentally Sound Technologies
2021,1658273.7,USD,Amount of tracked re-exported Environmentally Sound Technologies
2022,729844.4,USD,Amount of tracked re-exported Environmentally Sound Technologies
2023,495557.1,USD,Amount of tracked re-exported Environmentally Sound Technologies
2010,25144.0,USD,Amount of tracked re-imported Environmentally Sound Technologies
2011,2621749.0,USD,Amount of tracked re-imported Environmentally Sound Technologies
2012,83213.0,USD,Amount of tracked re-imported Environmentally Sound Technologies
2013,108597.0,USD,Amount of tracked re-imported Environmentally Sound Technologies
2014,71817.0,USD,Amount of tracked re-imported Environmentally Sound Technologies
2015,190552.0,USD,Amount of tracked re-imported Environmentally Sound Technologies
2016,133646.0,USD,Amount of tracked re-imported Environmentally Sound Technologies
2017,148203.5,USD,Amount of tracked re-imported Environmentally Sound Technologies
2018,600072.5,USD,Amount of tracked re-imported Environmentally Sound Technologies
2019,34599.5,USD,Amount of tracked re-imported Environmentally Sound Technologies
2020,39522.8,USD,Amount of tracked re-imported Environmentally Sound Technologies
2021,207811.7,USD,Amount of tracked re-imported Environmentally Sound Technologies
2022,323695.2,USD,Amount of tracked re-imported Environmentally Sound Technologies
2023,147103.4,USD,Amount of tracked re-imported Environmentally Sound Technologies
2010,252352799.0,USD,Total trade of tracked Environmentally Sound Technologies
2011,199944664.0,USD,Total trade of tracked Environmentally Sound Technologies
2012,200585734.0,USD,Total trade of tracked Environmentally Sound Technologies
2013,266616349.0,USD,Total trade of tracked Environmentally Sound Technologies
2014,268143954.0,USD,Total trade of tracked Environmentally Sound Technologies
2015,182418288.0,USD,Total trade of tracked Environmentally Sound Technologies
2016,190974776.0,USD,Total trade of tracked Environmentally Sound Technologies
2017,250381533.3,USD,Total trade of tracked Environmentally Sound Technologies
2018,327234718.9,USD,Total trade of tracked Environmentally Sound Technologies
2019,334447508.8,USD,Total trade of tracked Environmentally Sound Technologies
2020,375428841.1,USD,Total trade of tracked Environmentally Sound Technologies
2021,381117792.3,USD,Total trade of tracked Environmentally Sound Technologies
2022,470735446.9,USD,Total trade of tracked Environmentally Sound Technologies
2023,556126900.9,USD,Total trade of tracked Environmentally Sound Technologies
2024,561031013.7,USD,Total trade of tracked Environmentally Sound Technologies
