Year,Units,Սեռ,Տեսակ,Տարիք,Value
2015,%,,,,29.1
2016,%,,,,27.8
2017,%,,,,25.8
2018,%,,,,23.6
2020,$,,,,19.1
2015,%,արական,,,27.9
2016,%,արական,,,26.5
2017,%,արական,,,24.9
2018,%,արական,,,21.9
2020,%,արական,,,18.5
2015,%,իգական,,,30.1
2016,%,իգական,,,28.9
2017,%,իգական,,,26.6
2018,%,իգական,,,25.0
2020,%,իգական,,,19.7
2015,%,,երեխաներ,,31.4
2016,%,,երեխաներ,,31.3
2017,%,,երեխաներ,,29.5
2018,%,,երեխաներ,,25.5
2020,%,,երեխաներ,,20.0
2015,%,,,0-5 տարեկան,26.3
2016,%,,,0-5 տարեկան,27.7
2017,%,,,0-5 տարեկան,25.7
2018,%,,,0-5 տարեկան,22.5
2020,%,,,0-5 տարեկան,16.5
2015,%,,,6-17 տարեկան,34.2
2016,%,,,6-17 տարեկան,33.2
2017,%,,,6-17 տարեկան,31.3
2018,%,,,6-17 տարեկան,27.0
2020,%,,,6-17 տարեկան,21.6
2015,%,,,18-64 տարեկան,27.0
2016,%,,,18-64 տարեկան,25.4
2017,%,,,18-64 տարեկան,23.6
2018,%,,,18-64 տարեկան,20.0
2020,%,,,18-64 տարեկան,15.7
2015,%,,,65 և բարձր տարիքի,34.6
2016,%,,,65 և բարձր տարիքի,33.1
2017,%,,,65 և բարձր տարիքի,29.2
2018,%,,,65 և բարձր տարիքի,35.0
2020,%,,,65 և բարձր տարիքի,32.1
