Year,Units,Սեռ,Գտնվելու վայրը,Տարիք,Value
2015,%,,,,6.68
2016,%,,,,6.87
2017,%,,,,6.51
2018,%,,,,6.36
2019,%,,,,6.49
2020,%,,,,6.47
2015,%,տղամարդ,,,7.25
2016,%,տղամարդ,,,7.42
2017,%,տղամարդ,,,7.14
2018,%,տղամարդ,,,7.01
2019,%,տղամարդ,,,7.15
2020,%,տղամարդ,,,7.13
2015,%,կին,,,6.16
2016,%,կին,,,6.37
2017,%,կին,,,5.94
2018,%,կին,,,5.77
2019,%,կին,,,5.89
2020,%,կին,,,5.88
2015,%,,քաղաք,,7.15
2016,%,,քաղաք,,7.29
2017,%,,քաղաք,,6.92
2018,%,,քաղաք,,6.74
2019,%,,քաղաք,,6.83
2020,%,,քաղաք,,6.77
2015,%,տղամարդ,քաղաք,,7.68
2016,%,տղամարդ,քաղաք,,7.8
2017,%,տղամարդ,քաղաք,,7.5
2018,%,տղամարդ,քաղաք,,7.33
2019,%,տղամարդ,քաղաք,,7.42
2020,%,տղամարդ,քաղաք,,7.36
2015,%,կին,քաղաք,,6.69
2016,%,կին,քաղաք,,6.84
2017,%,կին,քաղաք,,6.42
2018,%,կին,քաղաք,,6.23
2019,%,կին,քաղաք,,6.31
2020,%,կին,քաղաք,,6.27
2015,%,,գյուղ,,5.85
2016,%,,գյուղ,,6.13
2017,%,,գյուղ,,5.77
2018,%,,գյուղ,,5.67
2019,%,,գյուղ,,5.89
2020,%,,գյուղ,,5.94
2015,%,տղամարդ,գյուղ,,6.54
2016,%,տղամարդ,գյուղ,,6.78
2017,%,տղամարդ,գյուղ,,6.55
2018,%,տղամարդ,գյուղ,,6.47
2019,%,տղամարդ,գյուղ,,6.7
2020,%,տղամարդ,գյուղ,,6.76
2015,%,կին,գյուղ,,5.17
2016,%,կին,գյուղ,,5.5
2017,%,կին,գյուղ,,5.03
2018,%,կին,գյուղ,,4.9
2019,%,կին,գյուղ,,5.11
2020,%,կին,գյուղ,,5.16
2015,%,,,0-17 տարեկան,1.13
2016,%,,,0-17 տարեկան,1.18
2017,%,,,0-17 տարեկան,1.18
2018,%,,,0-17 տարեկան,1.17
2019,%,,,0-17 տարեկան,1.23
2020,%,,,0-17 տարեկան,1.24
2015,%,տղամարդ,,0-17 տարեկան,1.46
2016,%,տղամարդ,,0-17 տարեկան,1.5
2017,%,տղամարդ,,0-17 տարեկան,1.52
2018,%,տղամարդ,,0-17 տարեկան,1.51
2019,%,տղամարդ,,0-17 տարեկան,1.58
2020,%,տղամարդ,,0-17 տարեկան,1.6
2015,%,կին,,0-17 տարեկան,0.75
2016,%,կին,,0-17 տարեկան,0.8
2017,%,կին,,0-17 տարեկան,0.79
2018,%,կին,,0-17 տարեկան,0.78
2019,%,կին,,0-17 տարեկան,0.82
2020,%,կին,,0-17 տարեկան,0.83
2015,%,,,18-39 տարեկան,2.48
2016,%,,,18-39 տարեկան,2.52
2017,%,,,18-39 տարեկան,2.4
2018,%,,,18-39 տարեկան,2.31
2019,%,,,18-39 տարեկան,2.36
2020,%,,,18-39 տարեկան,2.36
2015,%,տղամարդ,,18-39 տարեկան,3.47
2016,%,տղամարդ,,18-39 տարեկան,3.52
2017,%,տղամարդ,,18-39 տարեկան,3.39
2018,%,տղամարդ,,18-39 տարեկան,3.26
2019,%,տղամարդ,,18-39 տարեկան,3.3
2020,%,տղամարդ,,18-39 տարեկան,3.3
2015,%,կին,,18-39 տարեկան,1.55
2016,%,կին,,18-39 տարեկան,1.57
2017,%,կին,,18-39 տարեկան,1.48
2018,%,կին,,18-39 տարեկան,1.41
2019,%,կին,,18-39 տարեկան,1.47
2020,%,կին,,18-39 տարեկան,1.48
2015,%,,,40-62 տարեկան,11.61
2016,%,,,40-62 տարեկան,11.76
2017,%,,,40-62 տարեկան,10.39
2018,%,,,40-62 տարեկան,9.66
2019,%,,,40-62 տարեկան,9.6
2020,%,,,40-62 տարեկան,9.25
2015,%,տղամարդ,,40-62 տարեկան,12.58
2016,%,տղամարդ,,40-62 տարեկան,12.85
2017,%,տղամարդ,,40-62 տարեկան,11.85
2018,%,տղամարդ,,40-62 տարեկան,11.29
2019,%,տղամարդ,,40-62 տարեկան,11.36
2020,%,տղամարդ,,40-62 տարեկան,11.06
2015,%,կին,,40-62 տարեկան,10.81
2016,%,կին,,40-62 տարեկան,10.85
2017,%,կին,,40-62 տարեկան,9.19
2018,%,կին,,40-62 տարեկան,8.34
2019,%,կին,,40-62 տարեկան,8.19
2020,%,կին,,40-62 տարեկան,7.78
2015,%,,,63 և բարձր տարիքի,16.87
2016,%,,,63 և բարձր տարիքի,17.59
2017,%,,,63 և բարձր տարիքի,17.74
2018,%,,,63 և բարձր տարիքի,17.92
2019,%,,,63 և բարձր տարիքի,18.2
2020,%,,,63 և բարձր տարիքի,18.36
2015,%,տղամարդ,,63 և բարձր տարիքի,19.81
2016,%,տղամարդ,,63 և բարձր տարիքի,20.19
2017,%,տղամարդ,,63 և բարձր տարիքի,20.18
2018,%,տղամարդ,,63 և բարձր տարիքի,20.25
2019,%,տղամարդ,,63 և բարձր տարիքի,20.44
2020,%,տղամարդ,,63 և բարձր տարիքի,20.48
2015,%,կին,,63 և բարձր տարիքի,14.9
2016,%,կին,,63 և բարձր տարիքի,15.85
2017,%,կին,,63 և բարձր տարիքի,16.12
2018,%,կին,,63 և բարձր տարիքի,16.37
2019,%,կին,,63 և բարձր տարիքի,16.71
2020,%,կին,,63 և բարձր տարիքի,16.95
2021,%,,,,6.61
2021,%,տղամարդ,,,7.33
2021,%,կին,,,5.96
2021,%,,քաղաք,,6.88
2021,%,տղամարդ,քաղաք,,7.53
2021,%,կին,քաղաք,,6.31
2021,%,,գյուղ,,6.13
2021,%,տղամարդ,գյուղ,,7.0
2021,%,կին,գյուղ,,5.29
2021,%,,,0-17 տարեկան,1.3
2021,%,տղամարդ,,0-17 տարեկան,1.67
2021,%,կին,,0-17 տարեկան,0.87
2021,%,,,18-39 տարեկան,2.54
2021,%,տղամարդ,,18-39 տարեկան,3.61
2021,%,կին,,18-39 տարեկան,1.53
2021,%,,,40-62 տարեկան,9.1
2021,%,տղամարդ,,40-62 տարեկան,11.03
2021,%,կին,,40-62 տարեկան,7.54
2021,%,,,63 և բարձր տարիքի,18.58
2021,%,տղամարդ,,63 և բարձր տարիքի,20.69
2021,%,կին,,63 և բարձր տարիքի,17.19
2022,%,,,,6.49
2022,%,տղամարդ,,,7.2
2022,%,կին,,,5.85
2022,%,,քաղաք,,6.78
2022,%,տղամարդ,քաղաք,,7.44
2022,%,կին,քաղաք,,6.22
2022,%,,գյուղ,,5.96
2022,%,տղամարդ,գյուղ,,6.8
2022,%,կին,գյուղ,,5.16
2022,%,,,0-17 տարեկան,1.31
2022,%,տղամարդ,,0-17 տարեկան,1.69
2022,%,կին,,0-17 տարեկան,0.88
2022,%,,,18-39 տարեկան,2.41
2022,%,տղամարդ,,18-39 տարեկան,3.39
2022,%,կին,,18-39 տարեկան,1.48
2022,%,,,40-62 տարեկան,8.36
2022,%,տղամարդ,,40-62 տարեկան,10.35
2022,%,կին,,40-62 տարեկան,6.74
2022,%,,,63 և բարձր տարիքի,18.8
2022,%,տղամարդ,,63 և բարձր տարիքի,20.93
2022,%,կին,,63 և բարձր տարիքի,17.4
2023,%,,,,6.18
2023,%,տղամարդ,,,6.85
2023,%,կին,,,5.58
2023,%,,քաղաք,,6.47
2023,%,տղամարդ,քաղաք,,7.08
2023,%,կին,քաղաք,,5.94
2023,%,,գյուղ,,5.68
2023,%,տղամարդ,գյուղ,,6.47
2023,%,կին,գյուղ,,4.92
2023,%,,,0-17 տարեկան,1.2
2023,%,տղամարդ,,0-17 տարեկան,1.54
2023,%,կին,,0-17 տարեկան,0.81
2023,%,,,18-39 տարեկան,2.19
2023,%,տղամարդ,,18-39 տարեկան,3.1
2023,%,կին,,18-39 տարեկան,1.33
2023,%,,,40-62 տարեկան,7.44
2023,%,տղամարդ,,40-62 տարեկան,9.4
2023,%,կին,,40-62 տարեկան,5.84
2023,%,,,63 և բարձր տարիքի,19.16
2023,%,տղամարդ,,63 և բարձր տարիքի,21.31
2023,%,կին,,63 և բարձր տարիքի,17.76
2024,%,,,,5.32
2024,%,տղամարդ,,,5.82
2024,%,կին,,,4.88
2024,%,,քաղաք,,5.57
2024,%,տղամարդ,քաղաք,,6.08
2024,%,կին,քաղաք,,5.14
2024,%,,գյուղ,,4.88
2024,%,տղամարդ,գյուղ,,5.39
2024,%,կին,գյուղ,,4.36
2024,%,,,0-17 տարեկան,0.96
2024,%,տղամարդ,,0-17 տարեկան,1.23
2024,%,կին,,0-17 տարեկան,0.65
2024,%,,,18-39 տարեկան,1.87
2024,%,տղամարդ,,18-39 տարեկան,2.63
2024,%,կին,,18-39 տարեկան,1.13
2024,%,,,40-62 տարեկան,5.57
2024,%,տղամարդ,,40-62 տարեկան,7.09
2024,%,կին,,40-62 տարեկան,4.29
2024,%,,,63 և բարձր տարիքի,14.67
2024,%,տղամարդ,,63 և բարձր տարիքի,15.86
2024,%,կին,,63 և բարձր տարիքի,13.86
