Year,Units,Սեռ,Կատեգորիա,Տարիք,Value
2015,%,,,,2.11
2016,%,,,,2.21
2017,%,,,,2.12
2018,%,,,,2.2
2019,%,,,,2.43
2020,%,,,,2.58
2015,%,տղամարդ,,,2.31
2016,%,տղամարդ,,,2.42
2017,%,տղամարդ,,,2.36
2018,%,տղամարդ,,,2.44
2019,%,տղամարդ,,,2.66
2020,%,տղամարդ,,,2.79
2015,%,կին,,,1.93
2016,%,կին,,,2.02
2017,%,կին,,,1.9
2018,%,կին,,,1.98
2019,%,կին,,,2.21
2020,%,կին,,,2.39
2015,%,,ծերության,,0.12
2016,%,,ծերության,,0.13
2017,%,,ծերության,,0.16
2018,%,,ծերության,,0.19
2019,%,,ծերության,,0.26
2020,%,,ծերության,,0.33
2015,%,տղամարդ,ծերության,,0.04
2016,%,տղամարդ,ծերության,,0.06
2017,%,տղամարդ,ծերության,,0.07
2018,%,տղամարդ,ծերության,,0.09
2019,%,տղամարդ,ծերության,,0.13
2020,%,տղամարդ,ծերության,,0.16
2015,%,կին,ծերության,,0.18
2016,%,կին,ծերության,,0.2
2017,%,կին,ծերության,,0.23
2018,%,կին,ծերության,,0.28
2019,%,կին,ծերության,,0.38
2020,%,կին,ծերության,,0.48
2015,%,,հաշմանդամության,,1.6
2016,%,,հաշմանդամության,,1.68
2017,%,,հաշմանդամության,,1.57
2018,%,,հաշմանդամության,,1.61
2019,%,,հաշմանդամության,,1.76
2020,%,,հաշմանդամության,,1.84
2015,%,տղամարդ,հաշմանդամության,,1.94
2016,%,տղամարդ,հաշմանդամության,,2.02
2017,%,տղամարդ,հաշմանդամության,,1.95
2018,%,տղամարդ,հաշմանդամության,,2.0
2019,%,տղամարդ,հաշմանդամության,,2.17
2020,%,տղամարդ,հաշմանդամության,,2.26
2015,%,կին,հաշմանդամության,,1.29
2016,%,կին,հաշմանդամության,,1.36
2017,%,կին,հաշմանդամության,,1.23
2018,%,կին,հաշմանդամության,,1.26
2019,%,կին,հաշմանդամության,,1.39
2020,%,կին,հաշմանդամության,,1.46
2015,%,,կերակրողին կորցնելու դեպքում,,0.39
2016,%,,կերակրողին կորցնելու դեպքում,,0.4
2017,%,,կերակրողին կորցնելու դեպքում,,0.39
2018,%,,կերակրողին կորցնելու դեպքում,,0.4
2019,%,,կերակրողին կորցնելու դեպքում,,0.41
2020,%,,կերակրողին կորցնելու դեպքում,,0.41
2015,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.32
2016,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.34
2017,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.34
2018,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.35
2019,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.36
2020,%,տղամարդ,կերակրողին կորցնելու դեպքում,,0.37
2015,%,կին,կերակրողին կորցնելու դեպքում,,0.46
2016,%,կին,կերակրողին կորցնելու դեպքում,,0.45
2017,%,կին,կերակրողին կորցնելու դեպքում,,0.44
2018,%,կին,կերակրողին կորցնելու դեպքում,,0.44
2019,%,կին,կերակրողին կորցնելու դեպքում,,0.44
2020,%,կին,կերակրողին կորցնելու դեպքում,,0.45
2015,%,,,մինչև 51 տարեկան,2.39
2016,%,,,մինչև 51 տարեկան,2.46
2017,%,,,մինչև 51 տարեկան,2.34
2018,%,,,մինչև 51 տարեկան,2.35
2019,%,,,մինչև 51 տարեկան,2.48
2020,%,,,մինչև 51 տարեկան,2.51
2015,%,տղամարդ,,մինչև 51 տարեկան,2.77
2016,%,տղամարդ,,մինչև 51 տարեկան,2.87
2017,%,տղամարդ,,մինչև 51 տարեկան,2.77
2018,%,տղամարդ,,մինչև 51 տարեկան,2.79
2019,%,տղամարդ,,մինչև 51 տարեկան,2.93
2020,%,տղամարդ,,մինչև 51 տարեկան,2.96
2015,%,կին,,մինչև 51 տարեկան,2.02
2016,%,կին,,մինչև 51 տարեկան,2.06
2017,%,կին,,մինչև 51 տարեկան,1.93
2018,%,կին,,մինչև 51 տարեկան,1.93
2019,%,կին,,մինչև 51 տարեկան,2.03
2020,%,կին,,մինչև 51 տարեկան,2.06
2015,%,,,51-55 տարեկան,1.99
2016,%,,,51-55 տարեկան,2.36
2017,%,,,51-55 տարեկան,2.2
2018,%,,,51-55 տարեկան,2.47
2019,%,,,51-55 տարեկան,3.03
2020,%,,,51-55 տարեկան,3.5
2015,%,տղամարդ,,51-55 տարեկան,1.8
2016,%,տղամարդ,,51-55 տարեկան,2.27
2017,%,տղամարդ,,51-55 տարեկան,2.37
2018,%,տղամարդ,,51-55 տարեկան,2.84
2019,%,տղամարդ,,51-55 տարեկան,3.62
2020,%,տղամարդ,,51-55 տարեկան,4.23
2015,%,կին,,51-55 տարեկան,2.15
2016,%,կին,,51-55 տարեկան,2.44
2017,%,կին,,51-55 տարեկան,2.06
2018,%,կին,,51-55 տարեկան,2.18
2019,%,կին,,51-55 տարեկան,2.57
2020,%,կին,,51-55 տարեկան,2.93
2015,%,,,56-62 տարեկան,1.24
2016,%,,,56-62 տարեկան,1.37
2017,%,,,56-62 տարեկան,1.27
2018,%,,,56-62 տարեկան,1.48
2019,%,,,56-62 տարեկան,1.9
2020,%,,,56-62 տարեկան,2.26
2015,%,տղամարդ,,56-62 տարեկան,0.87
2016,%,տղամարդ,,56-62 տարեկան,0.98
2017,%,տղամարդ,,56-62 տարեկան,1.02
