Year,Units,Սեռ,Տեսակ,Value
2015,մարդ,,,469.0
2016,մարդ,,,478.0
2017,մարդ,,,474.0
2018,մարդ,,,363.0
2019,մարդ,,,351.0
2020,մարդ,,,367.0
2015,մարդ,արական,,256.0
2016,մարդ,արական,,273.0
2017,մարդ,արական,,262.0
2018,մարդ,արական,,208.0
2019,մարդ,արական,,199.0
2020,մարդ,արական,,218.0
2015,մարդ,իգական,,213.0
2016,մարդ,իգական,,205.0
2017,մարդ,իգական,,212.0
2018,մարդ,իգական,,155.0
2019,մարդ,իգական,,152.0
2020,մարդ,իգական,,149.0
2015,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,6.01
2016,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.85
2017,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.76
2018,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.43
2019,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.07
2020,%,,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.18
2015,%,արական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.76
2016,%,արական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.89
2017,%,արական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,4.65
2018,%,արական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,3.7
2019,%,արական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,3.36
2020,%,արական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,3.62
2015,%,իգական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,8.78
2016,%,իգական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,7.89
2017,%,իգական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,8.17
2018,%,իգական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,6.03
2019,%,իգական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.61
2020,%,իգական,ընդամենը՝ հաշմանդամություն ունեցող 0-17 տարեկան երեխաներից,5.4
