Year,Units,Գործակալություն,Value
2015,%,ԱՀԿ (Առևտրի համաշխարհային կազմակերպություն),0.625
2016,%,ԱՀԿ (Առևտրի համաշխարհային կազմակերպություն),0.61728
2017,%,ԱՀԿ (Առևտրի համաշխարհային կազմակերպություն),0.60976
2018,%,ԱՀԿ (Առևտրի համաշխարհային կազմակերպություն),0.60976
2019,%,ԱՀԿ (Առևտրի համաշխարհային կազմակերպություն),0.60976
2020,%,ԱՀԿ (Առևտրի համաշխարհային կազմակերպություն),0.60976
2021,%,ԱՀԿ (Առևտրի համաշխարհային կազմակերպություն),0.60976
2015,%,ԳԱ (ՄԱԿ Գլխավոր ասամբլեա),0.51813
2016,%,ԳԱ (ՄԱԿ Գլխավոր ասամբլեա),0.51813
2017,%,ԳԱ (ՄԱԿ Գլխավոր ասամբլեա),0.51813
2018,%,ԳԱ (ՄԱԿ Գլխավոր ասամբլեա),0.51813
2019,%,ԳԱ (ՄԱԿ Գլխավոր ասամբլեա),0.51813
2020,%,ԳԱ (ՄԱԿ Գլխավոր ասամբլեա),0.51813
2021,%,ԳԱ (ՄԱԿ Գլխավոր ասամբլեա),0.51813
2022,%,ԳԱ (ՄԱԿ Գլխավոր ասամբլեա),0.51813
2015,%,IRDB,0.53191
2016,%,IRDB,0.53191
2019,%,IRDB,0.53191
2017,%,IRBD,0.53191
2018,%,IRBD,0.53191
2020,%,IRBD,0.53191
2021,%,IRBD,0.53191
2015,%,ԱՄՀ (Արժույթի միջազգային հիմնադրամ),0.53191
2016,%,ԱՄՀ (Արժույթի միջազգային հիմնադրամ),0.53191
2017,%,ԱՄՀ (Արժույթի միջազգային հիմնադրամ),0.53191
2018,%,ԱՄՀ (Արժույթի միջազգային հիմնադրամ),0.53191
2019,%,ԱՄՀ (Արժույթի միջազգային հիմնադրամ),0.53191
2020,%,ԱՄՀ (Արժույթի միջազգային հիմնադրամ),0.53191
2021,%,ԱՄՀ (Արժույթի միջազգային հիմնադրամ),0.52632
2022,%,ԱՄՀ (Արժույթի միջազգային հիմնադրամ),0.52632
2015,%,ՄՖԿ (Միջազգային ֆինանսական կորպորացիա),0.54348
2016,%,ՄՖԿ (Միջազգային ֆինանսական կորպորացիա),0.54348
2017,%,ՄՖԿ (Միջազգային ֆինանսական կորպորացիա),0.54348
2018,%,ՄՖԿ (Միջազգային ֆինանսական կորպորացիա),0.54348
2019,%,ՄՖԿ (Միջազգային ֆինանսական կորպորացիա),0.5435
2020,%,ՄՖԿ (Միջազգային ֆինանսական կորպորացիա),0.54054
2021,%,ՄՖԿ (Միջազգային ֆինանսական կորպորացիա),0.54054
2022,%,ՄՖԿ (Միջազգային ֆինանսական կորպորացիա),0.53763
2019,%,ՏնտՍոցԽորհ (ՄԱԿ Տնտեսական և Սոցիալական խորհուրդ),1.85185
2020,%,ՏնտՍոցԽորհ (ՄԱԿ Տնտեսական և Սոցիալական խորհուրդ),1.85185
2021,%,ՏնտՍոցԽորհ (ՄԱԿ Տնտեսական և Սոցիալական խորհուրդ),1.85185
2015,%,ԱԶԲ (Ասիական զարգացման բանկ),1.4925
2016,%,ԱԶԲ (Ասիական զարգացման բանկ),1.4925
2017,%,ԱԶԲ (Ասիական զարգացման բանկ),1.4925
2018,%,ԱԶԲ (Ասիական զարգացման բանկ),1.4925
2019,%,ԱԶԲ (Ասիական զարգացման բանկ),1.47059
2020,%,ԱԶԲ (Ասիական զարգացման բանկ),1.47059
2021,%,ԱԶԲ (Ասիական զարգացման բանկ),1.47059
2022,%,ԱԶԲ (Ասիական զարգացման բանկ),1.47059
2022,%,ԱՀԿ (Առևտրի համաշխարհային կազմակերպություն),0.60976
