Year,Units,Երկիր,Value
2015,per 100000 population,ընդամենը,6.7
2015,%,Ուկրաինա,33.6
2015,%,Իրաք,20.3
2015,%,Իրան,1.5
2015,%,Սիրիայի Արաբական Հանրապետություն,42.1
2015,%,Եմեն,0.0
2015,%,Հայիթի,0.0
2015,%,Եգիպտոս,0.0
2015,%,Թուրքիա,0.0
2015,%,Նիգերիա,0.0
2015,%,Լիբանան,0.5
2015,%,Ռուսաստան,0.0
2015,%,Այլ երկրներ,2.0
2016,per 100000 population,ընդամենը,1.2
2016,%,Ուկրաինա,10.8
2016,%,Իրաք,2.7
2016,%,Իրան,0.0
2016,%,Սիրիայի Արաբական Հանրապետություն,78.4
2016,%,Եմեն,0.0
2016,%,Հայիթի,0.0
2016,%,Եգիպտոս,0.0
2016,%,Թուրքիա,0.0
2016,%,Նիգերիա,0.0
2016,%,Լիբանան,0.0
2016,%,Ռուսաստան,0.0
2016,%,Այլ երկրներ,8.1
2017,per 100000 population,ընդամենը,3.3
2017,%,Ուկրաինա,5.1
2017,%,Իրաք,30.3
2017,%,Իրան,2.0
2017,%,Սիրիայի Արաբական Հանրապետություն,56.6
2017,%,Եմեն,2.0
2017,%,Հայիթի,0.0
2017,%,Եգիպտոս,0.0
2017,%,Թուրքիա,0.0
2017,%,Նիգերիա,0.0
2017,%,Լիբանան,0.0
2017,%,Ռուսաստան,0.0
2017,%,Այլ երկրներ,4.0
2018,per 100000 population,ընդամենը,2.4
2018,%,Ուկրաինա,2.8
2018,%,Իրաք,36.1
2018,%,Իրան,2.8
2018,%,Սիրիայի Արաբական Հանրապետություն,29.2
2018,%,Եմեն,22.2
2018,%,Հայիթի,0.0
2018,%,Եգիպտոս,0.0
2018,%,Թուրքիա,0.0
2018,%,Նիգերիա,0.0
2018,%,Լիբանան,0.0
2018,%,Ռուսաստան,0.0
2018,%,Այլ երկրներ,6.9
2019,per 100000 population,ընդամենը,3.9
2019,%,Ուկրաինա,0.9
2019,%,Իրաք,14.7
2019,%,Իրան,38.8
2019,%,Սիրիայի Արաբական Հանրապետություն,26.7
2019,%,Եմեն,1.7
2019,%,Հայիթի,0.0
2019,%,Եգիպտոս,2.6
2019,%,Թուրքիա,3.4
2019,%,Նիգերիա,0.0
2019,%,Լիբանան,4.3
2019,%,Ռուսաստան,0.9
2019,%,Այլ երկրներ,6.0
2020,per 100000 population,ընդամենը,2.7
2020,%,Ուկրաինա,0.0
2020,%,Իրաք,9.9
2020,%,Իրան,45.7
2020,%,Սիրիայի Արաբական Հանրապետություն,28.4
2020,%,Եմեն,0.0
2020,%,Հայիթի,0.0
2020,%,Եգիպտոս,0.0
2020,%,Թուրքիա,4.9
2020,%,Նիգերիա,0.0
2020,%,Լիբանան,0.0
2020,%,Ռուսաստան,0.0
2020,%,Այլ երկրներ,11.1
2021,per 100000 population,ընդամենը,2.6
2021,%,Ուկրաինա,2.6
2021,%,Իրաք,11.5
2021,%,Իրան,51.3
2021,%,Սիրիայի Արաբական Հանրապետություն,25.6
2021,%,Եմեն,0.0
2021,%,Հայիթի,0.0
2021,%,Եգիպտոս,0.0
2021,%,Թուրքիա,3.8
2021,%,Նիգերիա,2.6
2021,%,Լիբանան,0.0
2021,%,Ռուսաստան,0.0
2021,%,Այլ երկրներ,2.6
2022,per 100000 population,ընդամենը,12.1
2022,%,Ուկրաինա,80.5
2022,%,Իրաք,7.8
2022,%,Իրան,5.6
2022,%,Սիրիայի Արաբական Հանրապետություն,0.8
2022,%,Եմեն,0.0
2022,%,Հայիթի,0.0
2022,%,Եգիպտոս,0.0
2022,%,Թուրքիա,0.3
2022,%,Նիգերիա,1.7
2022,%,Լիբանան,0.0
2022,%,Ռուսաստան,0.0
2022,%,Այլ երկրներ,3.3
2023,per 100000 population,ընդամենը,12.5
2023,%,Ուկրաինա,58.6
2023,%,Իրաք,10.8
2023,%,Իրան,4.0
2023,%,Սիրիայի Արաբական Հանրապետություն,7.5
2023,%,Եմեն,1.6
2023,%,Հայիթի,8.1
2023,%,Եգիպտոս,1.3
2023,%,Թուրքիա,1.9
2023,%,Նիգերիա,1.6
2023,%,Լիբանան,0.0
2023,%,Ռուսաստան,0.0
2023,%,Այլ երկրներ,4.6
2024,per 100000 population,ընդամենը,6.7
2024,%,Ուկրաինա,53.7
2024,%,Իրաք,17.2
2024,%,Իրան,5.9
2024,%,Սիրիայի Արաբական Հանրապետություն,4.9
2024,%,Եմեն,0.0
2024,%,Հայիթի,3.4
2024,%,Եգիպտոս,2.0
2024,%,Թուրքիա,0.5
2024,%,Նիգերիա,1.0
2024,%,Լիբանան,1.5
2024,%,Ռուսաստան,3.0
2024,%,Այլ երկրներ,6.9
2025,per 100000 population,ընդամենը,7.8
2025,%,Ուկրաինա,40.1
2025,%,Իրաք,11.1
2025,%,Իրան,17.4
2025,%,Սիրիայի Արաբական Հանրապետություն,5.8
2025,%,Եմեն,1.6
2025,%,Հայիթի,5.8
2025,%,Եգիպտոս,2.1
2025,%,Թուրքիա,1.6
2025,%,Նիգերիա,0.0
2025,%,Լիբանան,0.4
2025,%,Ռուսաստան,2.1
2025,%,Աֆղանստան,7.0
2025,%,Այլ երկրներ,5.0
