Year,Units,Սեռ,Տարիք,Տեսակ,Value
2020,%,տղամարդ,,,81.2
2021,%,տղամարդ,,,77.0
2022,%,տղամարդ,,,74.0
2023,%,տղամարդ,,,72.1
2020,%,կին,,,79.1
2021,%,կին,,,76.6
2022,%,կին,,,74.2
2023,%,կին,,,71.6
2020,%,,aged 15- 24,,79.2
2021,%,,aged 15- 24,,76.1
2022,%,,aged 15-24,,74.6
2023,%,,aged 15- 24,,72.6
2020,%,,aged 25- 64,,80.8
2021,%,,aged 25- 64,,76.7
2022,%,,aged 25- 64,,73.9
2023,%,,aged 25- 64,,71.4
2020,%,,aged 65+,,77.6
2021,%,,aged 65+,,78.4
2022,%,,aged 65+,,72.3
2023,%,,aged 65+,,70.1
2020,%,,,հաշմանդամներ,78.1
2021,%,,,հաշմանդամներ,78.5
2022,%,,,հաշմանդամներ,75.6
2023,%,,,հաշմանդամներ,71.7
