Year,Units,Աղետի տեսակ,Value
2015,"100,000 բնակչի հաշվով",,445.4
2016,"100,000 բնակչի հաշվով",,506.6
2017,"100,000 բնակչի հաշվով",,444.1
2018,"100,000 բնակչի հաշվով",,436.4
2019,"100,000 բնակչի հաշվով",,608.9
2020,"100,000 բնակչի հաշվով",,5930.6
2015,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,43.5
2016,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,177.1
2017,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,67.0
2018,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,3.7
2019,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,91.5
2020,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,65.4
2015,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,172.9
2016,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,168.6
2017,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,190.8
2018,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,239.5
2019,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,272.1
2020,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,227.8
2015,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,229.0
2016,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,160.9
2017,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,186.3
2018,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,193.3
2019,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,245.3
2020,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,5643.4
2021,"100,000 բնակչի հաշվով",,6678.2
2021,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,35.2
2021,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,260.3
2021,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,6382.7
2022,"100,000 բնակչի հաշվով",,4135.3
2022,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,114.4
2022,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,249.5
2022,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,3771.4
2023,"100,000 բնակչի հաշվով",,740.4
2023,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,173.9
2023,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,256.3
2023,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,310.3
2024,"100,000 բնակչի հաշվով",,653.8
2024,"100,000 բնակչի հաշվով",Տարերային վտանգավոր երևույթներ,224.2
2024,"100,000 բնակչի հաշվով",Տեխնածին արտակարգ դեպքեր,234.6
2024,"100,000 բնակչի հաշվով",Սոցիալ-կենսաբանական արտակարգ դեպքեր,195.0
