Year,Series,Units,Value
2010,Ամբողջ տարածք,mgr/m^3,52.917
2011,Ամբողջ տարածք,mgr/m^3,56.662
2012,Ամբողջ տարածք,mgr/m^3,52.872
2013,Ամբողջ տարածք,mgr/m^3,47.439
2014,Ամբողջ տարածք,mgr/m^3,42.963
2015,Ամբողջ տարածք,mgr/m^3,47.511
2016,Ամբողջ տարածք,mgr/m^3,41.97
2017,Ամբողջ տարածք,mgr/m^3,39.128
2018,Ամբողջ տարածք,mgr/m^3,38.466
2019,Ամբողջ տարածք,mgr/m^3,40.66
2020,Ամբողջ տարածք,mgr/m^3,35.253
2021,Ամբողջ տարածք,mgr/m^3,37.388
2022,Ամբողջ տարածք,mgr/m^3,34.045
2023,Ամբողջ տարածք,mgr/m^3,30.108
2010,Քաղաք,mgr/m^3,60.099
2011,Քաղաք,mgr/m^3,64.869
2012,Քաղաք,mgr/m^3,60.722
2013,Քաղաք,mgr/m^3,54.279
2014,Քաղաք,mgr/m^3,49.207
2015,Քաղաք,mgr/m^3,54.62
2016,Քաղաք,mgr/m^3,47.845
2017,Քաղաք,mgr/m^3,45.017
2018,Քաղաք,mgr/m^3,44.307
2019,Քաղաք,mgr/m^3,46.7
2020,Քաղաք,mgr/m^3,40.957
2021,Քաղաք,mgr/m^3,42.816
2022,Քաղաք,mgr/m^3,39.399
2023,Քաղաք,mgr/m^3,34.882
2010,գյուղ,mgr/m^3,35.842
2011,գյուղ,mgr/m^3,38.565
2012,գյուղ,mgr/m^3,35.92
2013,գյուղ,mgr/m^3,32.191
2014,գյուղ,mgr/m^3,29.167
2015,գյուղ,mgr/m^3,32.324
2016,գյուղ,mgr/m^3,28.575
2017,գյուղ,mgr/m^3,26.728
2018,գյուղ,mgr/m^3,26.206
2019,գյուղ,mgr/m^3,27.925
2020,գյուղ,mgr/m^3,24.179
2021,գյուղ,mgr/m^3,25.602
2022,գյուղ,mgr/m^3,23.45
2023,գյուղ,mgr/m^3,20.842
2010,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,48.344
2011,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,51.621
2012,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,48.41
2013,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,43.399
2014,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,39.414
2015,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,43.547
2016,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,38.626
2017,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,36.234
2018,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,35.421
2019,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,37.785
2020,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,32.739
2021,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,34.722
2022,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,31.62
2023,Փոքր քաղաք և կիսախիտ բնակեցված,mgr/m^3,28.117
2010,քաղաք,mgr/m^3,55.163
2011,քաղաք,mgr/m^3,59.205
2012,քաղաք,mgr/m^3,55.482
2013,քաղաք,mgr/m^3,49.482
2014,քաղաք,mgr/m^3,44.765
2015,քաղաք,mgr/m^3,49.419
2016,քաղաք,mgr/m^3,43.599
2017,քաղաք,mgr/m^3,41.063
2018,քաղաք,mgr/m^3,40.152
2019,քաղաք,mgr/m^3,42.462
2020,քաղաք,mgr/m^3,36.771
2021,քաղաք,mgr/m^3,39.064
2022,քաղաք,mgr/m^3,35.483
2023,քաղաք,mgr/m^3,31.531
