Year,Տեսակ,Units,Value
2015,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,20.7
2015,Այլ կազմակերպություններին փոխանցվող թափոններ,%,37.8
2015,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,0.7
2015,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,9.6
2015,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,51.8
2016,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,38.7
2016,Այլ կազմակերպություններին փոխանցվող թափոններ,%,68.4
2016,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,0.7
2016,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,14.0
2016,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,17.0
2017,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,14.7
2017,Այլ կազմակերպություններին փոխանցվող թափոններ,%,52.8
2017,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,1.4
2017,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,3.9
2017,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,42.0
2018,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,13.8
2018,Այլ կազմակերպություններին փոխանցվող թափոններ,%,60.8
2018,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,4.0
2018,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,10.5
2018,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,24.7
2019,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,33.0
2019,Այլ կազմակերպություններին փոխանցվող թափոններ,%,68.1
2019,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,1.0
2019,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,16.6
2019,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,14.3
2020,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,8431.3
2020,Այլ կազմակերպություններին փոխանցվող թափոններ,%,0.4
2020,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,0.0
2020,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,0.1
2020,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,99.5
2021,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,8270.8
2021,Այլ կազմակերպություններին փոխանցվող թափոններ,%,1.3
2021,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,0.1
2021,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,0.2
2021,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,98.4
2022,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,10084.7
2022,Այլ կազմակերպություններին փոխանցվող թափոններ,%,1.4
2022,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,0.0
2022,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,0.7
2022,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,97.9
2023,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,10649.1
2023,Այլ կազմակերպություններին փոխանցվող թափոններ,%,1.7
2023,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,0.1
2023,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,0.9
2023,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,97.3
2024,Վտանգավոր թափոնների գոյացումը,կգ մեկ շնչի հաշվով,14068.6
2024,Այլ կազմակերպություններին փոխանցվող թափոններ,%,4.6
2024,Վնասազերծվել և ոչնչացվել են կազմակերպությունների կողմից,%,0.3
2024,Կազմակերպությունների կողմից օգտագործվող թափոններ,%,43.3
2024,Կազմակերպությունների միջոցներով տեղափոխվել են տեղադրման վայրեր,%,51.9
