Year,Units,Կատեգորիա,Value
2015,%,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,0.283
2016,%,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,0.196
2017,%,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,0.184
2018,%,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,0.035
2019,%,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,0.032
2020,%,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն) որպես ընդհանուր ՀՆԱ-ի համամասնություն,0.092
2015,billions of nominal USD,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),0.032
2016,billions of nominal USD,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),0.022
2017,billions of nominal USD,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),0.022
2018,billions of nominal USD,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),0.004
2019,billions of nominal USD,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),0.004
2020,billions of nominal USD,Հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),0.012
2015,անվանական ԱՄՆ դոլար,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),10.8
2016,անվանական ԱՄՆ դոլար,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),7.5
2017,անվանական ԱՄՆ դոլար,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),7.6
2018,անվանական ԱՄՆ դոլար,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),1.5
2019,անվանական ԱՄՆ դոլար,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),1.5
2020,անվանական ԱՄՆ դոլար,Մեկ շնչի հաշվով հանածո վառելիքի սուբսիդիաներ (սպառում և արտադրություն),4.0
