Year,Units,Membership,Value
2015,%,ՄԱԿ Ծովային իրավունքի մասին կոնվենցիա,100
2016,%,ՄԱԿ Ծովային իրավունքի մասին կոնվենցիա,100
2017,%,ՄԱԿ Ծովային իրավունքի մասին կոնվենցիա,100
2018,%,ՄԱԿ Ծովային իրավունքի մասին կոնվենցիա,100
2019,%,ՄԱԿ Ծովային իրավունքի մասին կոնվենցիա,100
2020,%,ՄԱԿ Ծովային իրավունքի մասին կոնվենցիա,100
2021,%,ՄԱԿ Ծովային իրավունքի մասին կոնվենցիա,100
2022,%,ՄԱԿ Ծովային իրավունքի մասին կոնվենցիա,100
2015,%,Մաս_XI,100
2016,%,Մաս_XI,100
2017,%,Մաս_XI,100
2018,%,Մաս_XI,100
2019,%,Մաս_XI,100
2020,%,Մաս_XI,100
2021,%,Մաս_XI,100
2022,%,Մաս_XI,100
