Year,Ցուցանիշ,Units,Value
2010,"Ինվազիվ օտար տեսակների ներմուծման կանխարգելման և կառավարման վերաբերյալ օրենսդրություն, կանոնակարգ, օրենք","այո=1, ոչ=0",1
2016,"Ինվազիվ օտար տեսակների ներմուծման կանխարգելման և կառավարման վերաբերյալ օրենսդրություն, կանոնակարգ, օրենք","այո=1, ոչ=0",1
2020,"Ինվազիվ օտար տեսակների ներմուծման կանխարգելման և կառավարման վերաբերյալ օրենսդրություն, կանոնակարգ, օրենք","այո=1, ոչ=0",1
2022,"Ինվազիվ օտար տեսակների ներմուծման կանխարգելման և կառավարման վերաբերյալ օրենսդրություն, կանոնակարգ, օրենք","այո=1, ոչ=0",1
2010,Կենսաբազմազանության 2011–2020 թվականների ռազմավարական ծրագրի կենսաբազմազանության 9-րդ նպատակին ուղղված կենսաբազմազանության ազգային ռազմավարություն և գործողությունների ծրագրեր (ԿԱՌԾ),"այո=1, ոչ=0",0
2016,Կենսաբազմազանության 2011–2020 թվականների ռազմավարական ծրագրի կենսաբազմազանության 9-րդ նպատակին ուղղված կենսաբազմազանության ազգային ռազմավարություն և գործողությունների ծրագրեր (ԿԱՌԾ),"այո=1, ոչ=0",1
2020,Կենսաբազմազանության 2011–2020 թվականների ռազմավարական ծրագրի կենսաբազմազանության 9-րդ նպատակին ուղղված կենսաբազմազանության ազգային ռազմավարություն և գործողությունների ծրագրեր (ԿԱՌԾ),"այո=1, ոչ=0",1
2022,Կենսաբազմազանության 2011–2020 թվականների ռազմավարական ծրագրի կենսաբազմազանության 9-րդ նպատակին ուղղված կենսաբազմազանության ազգային ռազմավարություն և գործողությունների ծրագրեր (ԿԱՌԾ),"այո=1, ոչ=0",1
2010,"Երկրներ, որոնք ստանում են ազգային բյուջետային միջոցներ՝ ինվազիվ օտար տեսակների սպառնալիքի դեմ պայքարելու համար","այո=1, ոչ=0",0
2016,"Երկրներ, որոնք ստանում են ազգային բյուջետային միջոցներ՝ ինվազիվ օտար տեսակների սպառնալիքի դեմ պայքարելու համար","այո=1, ոչ=0",0
2020,"Երկրներ, որոնք ստանում են ազգային բյուջետային միջոցներ՝ ինվազիվ օտար տեսակների սպառնալիքի դեմ պայքարելու համար","այո=1, ոչ=0",0
2022,"Երկրներ, որոնք ստանում են ազգային բյուջետային միջոցներ՝ ինվազիվ օտար տեսակների սպառնալիքի դեմ պայքարելու համար","այո=1, ոչ=0",0
2010,"Գլոբալ ֆինանսավորում ստացող երկրներ, որոնք ինվազիվ օտար տեսակների վերահսկողության հետ կապված նախագծերի համար ունեն ցանկացած ֆինանսավորման հասանելիություն գլոբալ ֆինանսավորման մեխանիզմներից","այո=1, ոչ=0",0
2016,"Գլոբալ ֆինանսավորում ստացող երկրներ, որոնք ինվազիվ օտար տեսակների վերահսկողության հետ կապված նախագծերի համար ունեն ցանկացած ֆինանսավորման հասանելիություն գլոբալ ֆինանսավորման մեխանիզմներից","այո=1, ոչ=0",0
2020,"Գլոբալ ֆինանսավորում ստացող երկրներ, որոնք ինվազիվ օտար տեսակների վերահսկողության հետ կապված նախագծերի համար ունեն ցանկացած ֆինանսավորման հասանելիություն գլոբալ ֆինանսավորման մեխանիզմներից","այո=1, ոչ=0",0
2022,"Գլոբալ ֆինանսավորում ստացող երկրներ, որոնք ինվազիվ օտար տեսակների վերահսկողության հետ կապված նախագծերի համար ունեն ցանկացած ֆինանսավորման հասանելիություն գլոբալ ֆինանսավորման մեխանիզմներից","այո=1, ոչ=0",0
