Year,Units,Series,Position,Սեռ,Տարիք,Տեսակ,Value
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Հանրային ծառայողների թվաքանակ, ընդամենը",կին,,,0.95
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Հանրային ծառայողների թվաքանակ, ընդամենը",կին,18-24,,1.51
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Հանրային ծառայողների թվաքանակ, ընդամենը",կին,25-34,,1.4
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Հանրային ծառայողների թվաքանակ, ընդամենը",կին,35-44,,0.83
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Հանրային ծառայողների թվաքանակ, ընդամենը",կին,45-54,,0.98
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Հանրային ծառայողների թվաքանակ, ընդամենը",կին,55-64,,0.81
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Հանրային ծառայողների թվաքանակ, ընդամենը",կին,65-74,,0.44
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions","Հանրային ծառայողների թվաքանակ, ընդամենը",կին,,With disability,0.61
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Senior Managers and other Managers,կին,,,0.61
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Ստորին ատյանի դատարաններ (1-ին ատյանի ընդհանուր իրավասության և մասնագիտացված դատարաններ),կին,,,0.62
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Սահմանադրական դատարանի,կին,,,0.21
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Վերադաս դատարաններ (Վճռաբեկ և վերաքննիչ),կին,,,0.59
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Գրասենյակային ծառայողներ և ստեղնաշարով աշխատող գործավարներ,կին,,,1.2
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Ձեռնարակատիրական գործունեության և վարչարարության միջին որակավորում ունեցող մասնագետներ,կին,,,1.15
2024,Ratio,"b) Proportions of positions in the public service (national and local), by various characteristics, compared to national distributions",Վարչարարության գծով բարձր որակավորում ունեցող մասնագետներ,կին,,,0.97
2024,Ratio,"c) Proportions of positions in the judiciary (national and local), by various characteristics, compared to national distributions",Դատավորներ,կին,,,0.6
