Year,Series,Units,Unnamed: 4,Unnamed: 5,Value
2010,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,19729128.0
2011,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,17601676.0
2012,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,18501042.0
2013,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,24104887.0
2014,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,22295597.0
2015,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,17474495.0
2016,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,23322041.0
2017,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,29123447.3
2018,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,32180263.7
2019,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,47427293.0
2020,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,30338376.1
2021,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,34883781.8
2022,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,102063223.8
2023,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,128675175.4
2024,էկոլոգիապես մաքուր տեխնոլոգիաների արտահանման ծավալը,ԱՄՆ դոլար,,,110363475.7
2010,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը,ԱՄՆ դոլար,,,229483676.0
2011,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը,ԱՄՆ դոլար,,,174337163.0
2012,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը,ԱՄՆ դոլար,,,177370787.0
2013,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը,ԱՄՆ դոլար,,,238356795.0
2014,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը,ԱՄՆ դոլար,,,240982150.0
2015,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը,ԱՄՆ դոլար,,,161357732.0
2016,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը,ԱՄՆ դոլար,,,165319783.0
2017,էկոլոգիապես մաքուր տեխնոլոգիաների ներմուծման ծավալը,ԱՄՆ դոլար,,,216430808.2
