Year,Units,Ցուցանիշ,Value
2016,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",-1.4
2017,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",-0.4
2018,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",2.1
2019,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",3.5
2020,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",4.8
2021,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",12.3
2022,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",22.0
2023,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",24.4
2024,%,"Սպառողական գների ինդեքս, պարենային ապրանքներ (2015=100)",24.8
2015,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",0.75
2016,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",0.59
2017,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",1.06
2018,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.11
2019,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.1
2020,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-0.27
2021,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",1.68
2022,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",0.91
2023,ինդեքս,"Սննդամթերքի գների անոմալիաների ցուցանիշ (IFPA), ըստ սպառողական սննդամթերքի գների ինդեքսի, ընդամենը",-1.12
2015,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",0.49
2016,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",-0.9
2017,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",-0.45
2018,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",-0.39
2019,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",-0.32
2020,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",0.63
2021,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",0.07
2022,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",0.51
2023,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",-2.32
2024,ինդեքս,"Սննդամթերքի գնային անոմալիաների ցուցիչ (IFPA), ցորեն",1.23
