Year,Units,Սեռ,Value
2015,"1,000 կենդանածնի հաշվով",Total,10.4
2016,"1,000 կենդանածնի հաշվով",Total,10.1
2017,"1,000 կենդանածնի հաշվով",Total,9.6
2018,"1,000 կենդանածնի հաշվով",Total,8.7
2019,"1,000 կենդանածնի հաշվով",Total,7.5
2020,"1,000 կենդանածնի հաշվով",Total,8.2
2021,"1,000 կենդանածնի հաշվով",Total,8.1
2015,"1,000 կենդանածնի հաշվով",boy,11.2
2016,"1,000 կենդանածնի հաշվով",boy,11.5
2017,"1,000 կենդանածնի հաշվով",boy,10.6
2018,"1,000 կենդանածնի հաշվով",boy,9.1
2019,"1,000 կենդանածնի հաշվով",boy,8.1
2020,"1,000 կենդանածնի հաշվով",boy,9.2
2021,"1,000 կենդանածնի հաշվով",boy,9.0
2015,"1,000 կենդանածնի հաշվով",girl,9.5
2016,"1,000 կենդանածնի հաշվով",boy,8.5
2017,"1,000 կենդանածնի հաշվով",boy,8.5
2018,"1,000 կենդանածնի հաշվով",boy,8.1
2019,"1,000 կենդանածնի հաշվով",boy,6.9
2020,"1,000 կենդանածնի հաշվով",boy,7.1
2021,"1,000 կենդանածնի հաշվով",boy,7.1
