Year,Units,Կատեգորիա,Սեռ,Value
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,,6.3
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,,6.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,,6.2
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,,5.0
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,,4.7
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,,5.6
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,,4.9
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,6.5
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,7.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,6.8
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.2
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.6
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,6.7
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.5
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,6.0
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,5.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,5.6
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,4.7
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,3.7
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,4.5
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,4.3
2022,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.8
2022,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,4.1
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,6.0
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,5.4
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,5.6
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,4.8
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,4.0
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,4.7
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,4.5
2022,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,6.2
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,6.7
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,7.5
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,7.5
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,5.3
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,5.9
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,7.7
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,5.4
2022,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,3.7
2022,"1,000 կենդանածնի հաշվով",0-28 օրական,,5.0
2023,"1,000 կենդանածնի հաշվով",0-28 օրական,,5.0
2023,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,5.0
2023,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,5.1
2023,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.5
2023,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,4.5
2024,"1,000 կենդանածնի հաշվով",0-28 օրական,,4.3
2024,"1,000 կենդանածնի հաշվով",0-28 օրական,քաղաք,6.0
2024,"1,000 կենդանածնի հաշվով",0-28 օրական,գյուղ,2.2
2024,"1,000 կենդանածնի հաշվով",0-28 օրական,տղա,5.0
2024,"1,000 կենդանածնի հաշվով",0-28 օրական,աղջիկ,3.4
