Year,Units,Սեռ,Value
2015,%,,51.4
2016,%,,52.4
2017,%,,56.4
2018,%,,58.4
2019,%,,61.3
2020,%,,43.5
2015,%,տղամարդ,48.9
2016,%,տղամարդ,50.0
2017,%,տղամարդ,54.5
2018,%,տղամարդ,56.5
2019,%,տղամարդ,59.9
2020,%,տղամարդ,42.6
2015,%,կին,54.2
2016,%,կին,55.2
2017,%,կին,58.5
2018,%,կին,60.5
2019,%,կին,62.8
2020,%,կին,44.5
2021,%,,64.3
2021,%,տղամարդ,67.7
2021,%,կին,61.0
2022,%,,63.6
2022,%,տղամարդ,62.6
2022,%,կին,64.8
2023,%,,68.6
2023,%,տղամարդ,68.5
2023,%,կին,68.8
2024,%,,73.6
2024,%,տղամարդ,73.3
2024,%,կին,73.9
