Year,Units,Կրթության տեսակ,Value
2015,%,տարրական,1.0
2016,%,տարրական,1.0
2017,%,տարրական,1.0
2018,%,տարրական,1.01
2019,%,տարրական,1.01
2020,%,տարրական,1.01
2015,%,հիմնական,1.01
2016,%,հիմնական,1.01
2017,%,հիմնական,1.01
2018,%,հիմնական,1.01
2019,%,հիմնական,1.01
2020,%,հիմնական,1.01
2015,%,ավագ,1.2
2016,%,ավագ,1.21
2017,%,ավագ,1.17
2018,%,ավագ,1.2
2019,%,ավագ,1.19
2020,%,ավագ,1.2
2015,%,միջնակարգ,1.04
2016,%,միջնակարգ,1.03
2017,%,միջնակարգ,1.03
2018,%,միջնակարգ,1.04
2019,%,միջնակարգ,1.04
2020,%,միջնակարգ,1.04
2015,%,նախնական մասնագիտական,0.43
2016,%,նախնական մասնագիտական,0.45
2017,%,նախնական մասնագիտական,0.48
2018,%,նախնական մասնագիտական,0.42
2019,%,նախնական մասնագիտական,0.37
2020,%,նախնական մասնագիտական,0.35
2015,%,միջին մասնագիտական,1.31
2016,%,միջին մասնագիտական,1.29
2017,%,միջին մասնագիտական,1.31
2018,%,միջին մասնագիտական,1.26
2019,%,միջին մասնագիտական,1.24
2020,%,միջին մասնագիտական,1.18
2015,%,բարձրագույն կրթության առաջին աստիճան,1.26
2016,%,բարձրագույն կրթության առաջին աստիճան,1.24
2017,%,բարձրագույն կրթության առաջին աստիճան,1.2
2018,%,բարձրագույն կրթության առաջին աստիճան,1.17
2019,%,բարձրագույն կրթության առաջին աստիճան,1.27
2020,%,բարձրագույն կրթության առաջին աստիճան,1.27
2015,%,բարձրագույն կրթության երկրորդ աստիճան,1.57
2016,%,բարձրագույն կրթության երկրորդ աստիճան,1.44
2017,%,բարձրագույն կրթության երկրորդ աստիճան,1.98
2018,%,բարձրագույն կրթության երկրորդ աստիճան,2.19
2019,%,բարձրագույն կրթության երկրորդ աստիճան,2.24
2020,%,բարձրագույն կրթության երկրորդ աստիճան,2.36
2021,%,տարրական,1.01
2021,%,հիմնական,1.01
2021,%,ավագ,1.21
2021,%,միջնակարգ,1.04
2021,%,նախնական մասնագիտական,0.38
2021,%,միջին մասնագիտական,1.17
2021,%,բարձրագույն կրթության առաջին աստիճան,1.35
2021,%,բարձրագույն կրթության երկրորդ աստիճան,2.21
2022,%,տարրական,1.01
2022,%,հիմնական,1.01
2022,%,ավագ,1.22
2022,%,միջնակարգ,1.04
2022,%,նախնական մասնագիտական,0.34
2022,%,միջին մասնագիտական,1.19
2022,%,բարձրագույն կրթության առաջին աստիճան,1.46
2022,%,բարձրագույն կրթության երկրորդ աստիճան,1.95
2023,%,տարրական,1.02
2023,%,հիմնական,1.01
2023,%,ավագ,1.17
2023,%,միջնակարգ,1.04
2023,%,նախնական մասնագիտական,0.33
2023,%,միջին մասնագիտական,1.14
2023,%,բարձրագույն կրթության առաջին աստիճան,1.35
2023,%,բարձրագույն կրթության երկրորդ աստիճան,2.06
2024,%,տարրական,1.03
2024,%,հիմնական,1.01
2024,%,ավագ,1.16
2024,%,միջնակարգ,1.04
2024,%,նախնական մասնագիտական,0.35
2024,%,միջին մասնագիտական,1.2
2024,%,բարձրագույն կրթության առաջին աստիճան,1.36
2024,%,բարձրագույն կրթության երկրորդ աստիճան,2.15
