Year,Units,Օրեր,Տարիք,Սեռ,Գտնվելու վայրը,Կատեգորիա,Value
2023-2024,hours,all days,,ընդամենը,,,3.07
2023-2024,hours,weekdays,,ընդամենը,,,2.9
2023-2024,hours,weekends,,ընդամենը,,,3.6
2023-2024,hours,all days,,կին,,,4.68
2023-2024,hours,weekdays,,կին,,,4.55
2023-2024,hours,weekends,,կին,,,5.05
2023-2024,hours,all days,,տղամարդ,,,1.05
2023-2024,hours,weekdays,,տղամարդ,,,0.92
2023-2024,hours,weekends,,տղամարդ,,,1.52
2023-2024,hours,all days,15-24,ընդամենը,,,1.13
2023-2024,hours,all days,25-34,ընդամենը,,,4.25
2023-2024,hours,all days,35-49,ընդամենը,,,3.68
2023-2024,hours,all days,50-64,ընդամենը,,,2.83
2023-2024,hours,all days,65-80,ընդամենը,,,3.07
2023-2024,hours,all days,15-24,կին,,,1.77
2023-2024,hours,all days,25-34,կին,,,7.0
2023-2024,hours,all days,35-49,կին,,,5.33
2023-2024,hours,all days,50-64,կին,,,4.27
2023-2024,hours,all days,65-80,կին,,,4.3
2023-2024,hours,all days,15-24,տղամարդ,,,0.62
2023-2024,hours,all days,25-34,տղամարդ,,,1.22
2023-2024,hours,all days,35-49,տղամարդ,,,1.02
2023-2024,hours,all days,50-64,տղամարդ,,,1.12
2023-2024,hours,all days,65-80,տղամարդ,,,1.3
2023-2024,hours,weekdays,15-24,ընդամենը,,,0.87
2023-2024,hours,weekdays,25-34,ընդամենը,,,4.22
2023-2024,hours,weekdays,35-49,ընդամենը,,,3.48
2023-2024,hours,weekdays,50-64,ընդամենը,,,2.57
2023-2024,hours,weekdays,65-80,ընդամենը,,,3.07
2023-2024,hours,weekdays,15-24,կին,,,1.35
2023-2024,hours,weekdays,25-34,կին,,,7.32
2023-2024,hours,weekdays,35-49,կին,,,5.2
2023-2024,hours,weekdays,50-64,կին,,,4.03
2023-2024,hours,weekdays,65-80,կին,,,4.32
2023-2024,hours,weekdays,15-24,տղամարդ,,,0.5
2023-2024,hours,weekdays,25-34,տղամարդ,,,1.1
2023-2024,hours,weekdays,35-49,տղամարդ,,,0.98
2023-2024,hours,weekdays,50-64,տղամարդ,,,0.8
2023-2024,hours,weekdays,65-80,տղամարդ,,,1.25
2023-2024,hours,weekends,15-24,ընդամենը,,,1.98
2023-2024,hours,weekends,25-34,ընդամենը,,,4.37
2023-2024,hours,weekends,35-49,ընդամենը,,,4.33
2023-2024,hours,weekends,50-64,ընդամենը,,,3.65
2023-2024,hours,weekends,65-80,ընդամենը,,,3.05
2023-2024,hours,weekends,15-24,կին,,,3.07
2023-2024,hours,weekends,25-34,կին,,,6.25
2023-2024,hours,weekends,35-49,կին,,,5.72
2023-2024,hours,weekends,50-64,կին,,,4.97
2023-2024,hours,weekends,65-80,կին,,,4.23
2023-2024,hours,weekends,15-24,տղամարդ,,,1.03
2023-2024,hours,weekends,25-34,տղամարդ,,,1.65
2023-2024,hours,weekends,35-49,տղամարդ,,,1.22
2023-2024,hours,weekends,50-64,տղամարդ,,,2.08
2023-2024,hours,weekends,65-80,տղամարդ,,,1.42
2023-2024,hours,all days,,ընդամենը,Հայաստան,,3.07
2023-2024,hours,all days,,ընդամենը,Երևան,,3.03
2023-2024,hours,all days,,ընդամենը,Other Urban,,3.43
2023-2024,hours,all days,,ընդամենը,Rural,,2.97
2023-2024,hours,all days,,կին,Հայաստան,,4.68
2023-2024,hours,all days,,կին,Երևան,,4.42
2023-2024,hours,all days,,կին,Other Urban,,4.93
2023-2024,hours,all days,,կին,Rural,,4.75
2023-2024,hours,all days,,տղամարդ,Հայաստան,,1.05
2023-2024,hours,all days,,տղամարդ,Երևան,,1.18
2023-2024,hours,all days,,տղամարդ,Other Urban,,1.22
2023-2024,hours,all days,,տղամարդ,Rural,,0.92
2023-2024,hours,weekdays,,ընդամենը,Հայաստան,,2.9
2023-2024,hours,weekdays,,ընդամենը,Երևան,,3.02
2023-2024,hours,weekdays,,ընդամենը,Other Urban,,3.33
2023-2024,hours,weekdays,,ընդամենը,Rural,,2.68
2023-2024,hours,weekdays,,կին,Հայաստան,,4.55
2023-2024,hours,weekdays,,կին,Երևան,,4.42
2023-2024,hours,weekdays,,կին,Other Urban,,4.88
2023-2024,hours,weekdays,,կին,Rural,,4.5
2023-2024,hours,weekdays,,տղամարդ,Հայաստան,,0.92
2023-2024,hours,weekdays,,տղամարդ,Երևան,,1.17
2023-2024,hours,weekdays,,տղամարդ,Other Urban,,1.02
2023-2024,hours,weekdays,,տղամարդ,Rural,,0.75
2023-2024,hours,weekends,,ընդամենը,Հայաստան,,3.6
2023-2024,hours,weekends,,ընդամենը,Երևան,,3.05
2023-2024,hours,weekends,,ընդամենը,Other Urban,,3.72
2023-2024,hours,weekends,,ընդամենը,Rural,,4.03
2023-2024,hours,weekends,,կին,Հայաստան,,5.05
2023-2024,hours,weekends,,կին,Երևան,,4.43
2023-2024,hours,weekends,,կին,Other Urban,,5.07
2023-2024,hours,weekends,,կին,Rural,,5.55
2023-2024,hours,weekends,,տղամարդ,Հայաստան,,1.52
2023-2024,hours,weekends,,տղամարդ,Երևան,,1.23
2023-2024,hours,weekends,,տղամարդ,Other Urban,,1.72
2023-2024,hours,weekends,,տղամարդ,Rural,,1.68
2023-2024,hours,all days,,ընդամենը,,Զբաղվածներ,1.68
2023-2024,hours,all days,,ընդամենը,,Unemployed,4.32
2023-2024,hours,all days,,ընդամենը,,Population outside the labour force,4.25
2023-2024,hours,all days,,կին,,Զբաղվածներ,3.07
2023-2024,hours,all days,,կին,,Population outside the labour force,6.28
2023-2024,hours,all days,,կին,,Unemployed,5.32
2023-2024,hours,all days,,տղամարդ,,Զբաղվածներ,0.75
2023-2024,hours,all days,,տղամարդ,,Unemployed,2.1
2023-2024,hours,all days,,տղամարդ,,Population outside the labour force,1.28
