Year,Units,Տարիք,Սեռ,Value
2015,%,,,17.9
2016,%,,,18.1
2017,%,,,18.3
2018,%,15-74,,21.2
2019,%,15-74,,18.1
2020,%,15-74,,15.3
2020,%,15-64,,15.7
2015,%,,տղամարդ,23.1
2016,%,,տղամարդ,22.0
2017,%,,տղամարդ,21.9
2018,%,15-74,տղամարդ,26.9
2019,%,15-74,տղամարդ,23.2
2020,%,,տղամարդ,19.7
2020,%,15-74,տղամարդ,21.3
2015,%,,կին,11.2
2016,%,,կին,13.3
2017,%,,կին,13.9
2018,%,15-74,կին,14.1
2019,%,15-74,կին,12.1
2020,%,15-74,կին,9.1
2020,%,15-29,,12.1
2018,%,15-64,,21.5
2018,%,15-29,,21.2
2018,%,30-44,,22.6
2018,%,45-59,,22.7
2018,%,60-74,,12.7
2019,%,15-64,,18.4
2019,%,15-29,,17.3
2019,%,30-44,,18.8
2019,%,45-59,,19.3
2019,%,60-74,,15.0
2020,%,30-44,,17.7
2020,%,45-59,,16.3
2020,%,60-74,,11.2
2021,%,15-74,,14.3
2021,%,15-74,տղամարդ,20.3
2021,%,15-74,կին,7.9
2021,%,15-64,,14.7
2021,%,15-29,,12.3
2021,%,30-44,,15.7
2021,%,45-59,,15.8
2021,%,60-74,,10.7
