Year,Units,Կատեգորիա,Տեսակ,Value
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,9e-05
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,0.0
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,0.0001
2018,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,1e-05
2019,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0003
2020,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0003
2021,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0004
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0004
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0003
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Թափոններ՝ վերջնական մշակման և հեռացման համար,-0.0003
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,14.0
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,17.8
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,18.2
2018,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,16.3
2019,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,19.5
2020,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,21.7
2021,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,22.6
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,21.7
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,20.1
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ընդամենը կամ առանց մանրամասների,20.4
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,3.0
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,2.8
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,2.6
2018,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,2.3
2019,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,2.2
2020,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,2.3
2021,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,2.3
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,2.1
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,1.9
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Կենսազանգված,1.9
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.7
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.7
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.7
2018,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.7
2019,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.8
2020,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.8
2021,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.9
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.8
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.7
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Հանածո վառելիքներ,0.7
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,8.4
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,13.0
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,12.9
2018,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,10.8
2019,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,14.1
2020,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,16.2
2021,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,16.8
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,16.3
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,15.3
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Մետաղական հանքաքարեր,15.5
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.1
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.1
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.3
2018,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.2
2019,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.4
2020,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.4
2021,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.4
2022,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.4
2023,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.3
2024,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Խառը և բարդ արտադրանքներ (այլ տեղ չդասակարգված),0.3
2015,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,1.8
2016,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,1.2
2017,տոննա,"Ներքին նյութական սպառում, ըստ հումքի տեսակի",Ոչ մետաղական հանքանյութեր,1.7
