Year,Units,Տարիք,Սեռ,Գտնվելու վայրը,Value
2015,%,,ընդամենը,,7.9
2016,%,,ընդամենը,,8.3
2017,%,,ընդամենը,,9.1
2018,%,,ընդամենը,,10.5
2019,%,,ընդամենը,,10.5
2020,%,,ընդամենը,,10.1
2015,%,,տղամարդ,,9.4
2016,%,,տղամարդ,,10.0
2017,%,,տղամարդ,,10.9
2018,%,,տղամարդ,,9.2
2019,%,,տղամարդ,,11.3
2020,%,,տղամարդ,,10.4
2015,%,,կին,,6.1
2016,%,,կին,,6.4
2017,%,,կին,,7.2
2018,%,,կին,,9.9
2019,%,,կին,,9.5
2020,%,,կին,,9.7
2015,%,,,քաղաք,11.1
2016,%,,,քաղաք,12.0
2017,%,,,քաղաք,13.2
2018,%,,,քաղաք,13.6
2019,%,,,քաղաք,13.7
2020,%,,,քաղաք,13.4
2015,%,,,գյուղ,4.3
2016,%,,,գյուղ,4.3
2017,%,,,գյուղ,4.6
2018,%,,,գյուղ,6.0
2019,%,,,գյուղ,6.2
2020,%,,,գյուղ,5.6
2021,%,,ընդամենը,,9.8
2021,%,,տղամարդ,,10.3
2021,%,,կին,,9.3
2021,%,,,քաղաք,13.2
2021,%,,,գյուղ,5.7
2021,%,15-29,,,8.5
2021,%,30-44,,,10.0
2021,%,45-59,,,10.6
2021,%,60-74,,,9.3
2021,%,15-64,,,10.0
2020,%,15-29,,,9.2
2020,%,30-44,,,8.9
2020,%,45-59,,,11.0
2020,%,60-74,,,10.1
2020,%,15-64,,,8.9
2020,%,ընդամենը,with disabilities ,,8.7
2021,%,ընդամենը,with disabilities ,,8.2
2019,%,ընդամենը,with disabilities ,,8.0
2019,%,15-29,,,8.4
2019,%,30-44,,,9.1
2019,%,45-59,,,12.4
2019,%,60-74,,,9.9
2019,%,15-64,,,10.2
2018,%,ընդամենը,with disabilities ,,7.6
2018,%,15-29,,,10.1
2018,%,30-44,,,10.8
2018,%,45-59,,,11.1
2018,%,60-74,,,8.9
2018,%,15-64,,,13.7
