Year,Units,Գտնվելու վայրը,Սեռ,Տարիք,Տեսակ,Value
2015,%,,,,,29.8
2016,%,,,,,29.4
2017,%,,,,,25.7
2018,%,,,,,23.5
2019,%,,,,,26.4
2020,%,,,,,27.0
2021,%,,,,,26.5
2015,%,քաղաք,,,,29.4
2016,%,քաղաք,,,,28.8
2017,%,քաղաք,,,,25.0
2018,%,քաղաք,,,,24.9
2019,%,քաղաք,,,,22.2
2020,%,քաղաք,,,,22.5
2021,%,քաղաք,,,,21.8
2015,%,գյուղ,,,,30.4
2016,%,գյուղ,,,,30.4
2017,%,գյուղ,,,,26.8
2018,%,գյուղ,,,,21.3
2019,%,գյուղ,,,,33.2
2020,%,գյուղ,,,,33.6
2021,%,գյուղ,,,,33.0
2015,%,,կին,,,30.1
2016,%,,կին,,,30.2
2017,%,,կին,,,26.3
2018,%,,կին,,,23.6
2019,%,,կին,,,26.0
2020,%,,կին,,,26.3
2021,%,,կին,,,25.8
2015,%,,կին,0-5 տարեկան,,36.2
2016,%,,կին,0-5 տարեկան,,35.1
2017,%,,կին,0-5 տարեկան,,32.7
2018,%,,կին,0-5 տարեկան,,29.8
2019,%,,կին,0-5 տարեկան,,32.8
2020,%,,կին,0-5 տարեկան,,34.2
2021,%,,կին,0-5 տարեկան,,35.9
2015,%,,կին,6-17 տարեկան,,35.2
2016,%,,կին,6-17 տարեկան,,36.4
2017,%,,կին,6-17 տարեկան,,32.2
2018,%,,կին,6-17 տարեկան,,28.0
2019,%,,կին,6-17 տարեկան,,33.7
2020,%,,կին,6-17 տարեկան,,34.4
2021,%,,կին,6-17 տարեկան,,34.4
2015,%,,կին,18-64 տարեկան,,28.6
2016,%,,կին,18-64 տարեկան,,28.3
2017,%,,կին,18-64 տարեկան,,25.3
2018,%,,կին,18-64 տարեկան,,22.6
2019,%,,կին,18-64 տարեկան,,25.3
2020,%,,կին,18-64 տարեկան,,25.4
2021,%,,կին,18-64 տարեկան,,24.3
2015,%,,կին,65 և բարձր տարիքի,,28.9
2016,%,,կին,65 և բարձր տարիքի,,29.8
2017,%,,կին,65 և բարձր տարիքի,,23.2
2018,%,,կին,65 և բարձր տարիքի,,21.3
2019,%,,կին,65 և բարձր տարիքի,,20.6
2020,%,,կին,65 և բարձր տարիքի,,20.9
