Year,Units,Սեռ,Տարիք,Կատեգորիա,Value
2015,մարդ,,,,864.0
2016,մարդ,,,,810.0
2017,մարդ,,,,824.0
2018,մարդ,,,,784.0
2019,մարդ,,,,764.0
2020,մարդ,,,,751.0
2015,մարդ,տղամարդ,,,456.0
2016,մարդ,տղամարդ,,,445.0
2017,մարդ,տղամարդ,,,445.0
2018,մարդ,տղամարդ,,,424.0
2019,մարդ,տղամարդ,,,414.0
2020,մարդ,տղամարդ,,,414.0
2015,մարդ,կին,,,408.0
2016,մարդ,կին,,,365.0
2017,մարդ,կին,,,379.0
2018,մարդ,կին,,,360.0
2019,մարդ,կին,,,350.0
2020,մարդ,կին,,,337.0
2015,մարդ,,մինչև 1 տարեկան,,68.0
2016,մարդ,,մինչև 1 տարեկան,,47.0
2017,մարդ,,մինչև 1 տարեկան,,59.0
2018,մարդ,,մինչև 1 տարեկան,,49.0
2019,մարդ,,մինչև 1 տարեկան,,55.0
2020,մարդ,,մինչև 1 տարեկան,,42.0
2015,մարդ,տղամարդ,մինչև 1 տարեկան,,34.0
2016,մարդ,տղամարդ,մինչև 1 տարեկան,,25.0
2017,մարդ,տղամարդ,մինչև 1 տարեկան,,27.0
2018,մարդ,տղամարդ,մինչև 1 տարեկան,,27.0
2019,մարդ,տղամարդ,մինչև 1 տարեկան,,25.0
2020,մարդ,տղամարդ,մինչև 1 տարեկան,,24.0
2015,մարդ,կին,մինչև 1 տարեկան,,34.0
2016,մարդ,կին,մինչև 1 տարեկան,,22.0
2017,մարդ,կին,մինչև 1 տարեկան,,32.0
2018,մարդ,կին,մինչև 1 տարեկան,,22.0
2019,մարդ,կին,մինչև 1 տարեկան,,30.0
2020,մարդ,կին,մինչև 1 տարեկան,,18.0
2015,մարդ,,1-6 տարեկան,,199.0
2016,մարդ,,1-6 տարեկան,,208.0
2017,մարդ,,1-6 տարեկան,,170.0
2018,մարդ,,1-6 տարեկան,,166.0
2019,մարդ,,1-6 տարեկան,,161.0
2020,մարդ,,1-6 տարեկան,,131.0
2015,մարդ,տղամարդ,1-6 տարեկան,,107.0
2016,մարդ,տղամարդ,1-6 տարեկան,,117.0
2017,մարդ,տղամարդ,1-6 տարեկան,,95.0
2018,մարդ,տղամարդ,1-6 տարեկան,,86.0
2019,մարդ,տղամարդ,1-6 տարեկան,,90.0
2020,մարդ,տղամարդ,1-6 տարեկան,,71.0
2015,մարդ,կին,1-6 տարեկան,,92.0
2016,մարդ,կին,1-6 տարեկան,,91.0
2017,մարդ,կին,1-6 տարեկան,,75.0
2018,մարդ,կին,1-6 տարեկան,,80.0
2019,մարդ,կին,1-6 տարեկան,,71.0
2020,մարդ,կին,1-6 տարեկան,,60.0
2015,մարդ,,7-9 տարեկան,,147.0
2016,մարդ,,7-9 տարեկան,,145.0
2017,մարդ,,7-9 տարեկան,,176.0
2018,մարդ,,7-9 տարեկան,,141.0
2019,մարդ,,7-9 տարեկան,,139.0
2020,մարդ,,7-9 տարեկան,,122.0
2015,մարդ,տղամարդ,7-9 տարեկան,,79.0
2016,մարդ,տղամարդ,7-9 տարեկան,,76.0
2017,մարդ,տղամարդ,7-9 տարեկան,,99.0
2018,մարդ,տղամարդ,7-9 տարեկան,,82.0
2019,մարդ,տղամարդ,7-9 տարեկան,,77.0
2020,մարդ,տղամարդ,7-9 տարեկան,,69.0
2015,մարդ,կին,7-9 տարեկան,,68.0
2016,մարդ,կին,7-9 տարեկան,,69.0
2017,մարդ,կին,7-9 տարեկան,,77.0
2018,մարդ,կին,7-9 տարեկան,,59.0
2019,մարդ,տղամարդ,7-9 տարեկան,,62.0
2020,մարդ,տղամարդ,7-9 տարեկան,,53.0
2015,մարդ,,10-15 տարեկան,,246.0
2016,մարդ,,10-15 տարեկան,,231.0
2017,մարդ,,10-15 տարեկան,,221.0
2018,մարդ,,10-15 տարեկան,,197.0
2019,մարդ,,10-15 տարեկան,,209.0
2020,մարդ,,10-15 տարեկան,,209.0
2015,մարդ,տղամարդ,10-15 տարեկան,,136.0
2016,մարդ,տղամարդ,10-15 տարեկան,,137.0
2017,մարդ,տղամարդ,10-15 տարեկան,,132.0
2018,մարդ,տղամարդ,10-15 տարեկան,,115.0
2019,մարդ,տղամարդ,10-15 տարեկան,,117.0
2020,մարդ,տղամարդ,10-15 տարեկան,,119.0
2015,մարդ,կին,10-15 տարեկան,,110.0
2016,մարդ,կին,10-15 տարեկան,,94.0
2017,մարդ,կին,10-15 տարեկան,,89.0
2018,մարդ,կին,10-15 տարեկան,,82.0
2019,մարդ,կին,10-15 տարեկան,,92.0
2020,մարդ,կին,10-15 տարեկան,,90.0
2015,մարդ,,16-17 տարեկան,,204.0
2016,մարդ,,16-17 տարեկան,,179.0
2017,մարդ,,16-17 տարեկան,,198.0
2018,մարդ,,16-17 տարեկան,,231.0
2019,մարդ,,16-17 տարեկան,,200.0
2020,մարդ,,16-17 տարեկան,,247.0
2015,մարդ,տղամարդ,16-17 տարեկան,,100.0
2016,մարդ,տղամարդ,16-17 տարեկան,,90.0
2017,մարդ,տղամարդ,16-17 տարեկան,,92.0
2018,մարդ,տղամարդ,16-17 տարեկան,,114.0
2019,մարդ,տղամարդ,16-17 տարեկան,,105.0
2020,մարդ,տղամարդ,16-17 տարեկան,,131.0
2015,մարդ,կին,16-17 տարեկան,,104.0
2016,մարդ,կին,16-17 տարեկան,,89.0
2017,մարդ,կին,16-17 տարեկան,,106.0
2018,մարդ,կին,16-17 տարեկան,,117.0
2019,մարդ,կին,16-17 տարեկան,,95.0
2020,մարդ,կին,16-17 տարեկան,,116.0
2015,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.12
2016,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.12
2017,%,,,ընդամենը՝ համապատասխան տարիքի բնակչությունից,0.12
