Year,Units,Սեռ,Տարիք,Value
2015,մարդ,,,78
2016,մարդ,,,64
2017,մարդ,,,45
2018,մարդ,,,52
2019,մարդ,,,81
2020,մարդ,,,35
2015,մարդ,տղամարդ,,38
2016,մարդ,տղամարդ,,39
2017,մարդ,տղամարդ,,21
2018,մարդ,տղամարդ,,25
2019,մարդ,տղամարդ,,41
2020,մարդ,տղամարդ,,14
2015,մարդ,կին,,40
2016,մարդ,կին,,25
2017,մարդ,կին,,24
2018,մարդ,կին,,27
2019,մարդ,կին,,40
2020,մարդ,կին,,21
2015,մարդ,,մինչև 1 տարեկան,11
2016,մարդ,,մինչև 1 տարեկան,6
2017,մարդ,,մինչև 1 տարեկան,2
2018,մարդ,,մինչև 1 տարեկան,4
2019,մարդ,,մինչև 1 տարեկան,7
2020,մարդ,,մինչև 1 տարեկան,0
2015,մարդ,տղամարդ,մինչև 1 տարեկան,6
2016,մարդ,տղամարդ,մինչև 1 տարեկան,5
2017,մարդ,տղամարդ,մինչև 1 տարեկան,0
2018,մարդ,տղամարդ,մինչև 1 տարեկան,1
2019,մարդ,տղամարդ,մինչև 1 տարեկան,4
2020,մարդ,տղամարդ,մինչև 1 տարեկան,0
2015,մարդ,կին,մինչև 1 տարեկան,5
2016,մարդ,կին,մինչև 1 տարեկան,1
2017,մարդ,կին,մինչև 1 տարեկան,2
2018,մարդ,կին,մինչև 1 տարեկան,3
2019,մարդ,կին,մինչև 1 տարեկան,3
2020,մարդ,կին,մինչև 1 տարեկան,0
2015,մարդ,,1-6 տարեկան,32
2016,մարդ,,1-6 տարեկան,19
2017,մարդ,,1-6 տարեկան,15
2018,մարդ,,1-6 տարեկան,21
2019,մարդ,,1-6 տարեկան,21
2020,մարդ,,1-6 տարեկան,8
2015,մարդ,տղամարդ,1-6 տարեկան,15
2016,մարդ,տղամարդ,1-6 տարեկան,11
2017,մարդ,տղամարդ,1-6 տարեկան,8
2018,մարդ,տղամարդ,1-6 տարեկան,11
2019,մարդ,տղամարդ,1-6 տարեկան,13
2020,մարդ,տղամարդ,1-6 տարեկան,4
2015,մարդ,կին,1-6 տարեկան,17
2016,մարդ,կին,1-6 տարեկան,8
2017,մարդ,կին,1-6 տարեկան,7
2018,մարդ,կին,1-6 տարեկան,10
2019,մարդ,կին,1-6 տարեկան,8
2020,մարդ,կին,1-6 տարեկան,4
2015,մարդ,,7-9 տարեկան,14
2016,մարդ,,7-9 տարեկան,13
2017,մարդ,,7-9 տարեկան,7
2018,մարդ,,7-9 տարեկան,8
2019,մարդ,,7-9 տարեկան,20
2020,մարդ,,7-9 տարեկան,9
2015,մարդ,տղամարդ,7-9 տարեկան,6
2016,մարդ,տղամարդ,7-9 տարեկան,6
2017,մարդ,տղամարդ,7-9 տարեկան,4
2018,մարդ,տղամարդ,7-9 տարեկան,5
2019,մարդ,տղամարդ,7-9 տարեկան,7
2020,մարդ,տղամարդ,7-9 տարեկան,2
2015,մարդ,կին,7-9 տարեկան,8
2016,մարդ,կին,7-9 տարեկան,7
2017,մարդ,կին,7-9 տարեկան,3
2018,մարդ,կին,7-9 տարեկան,3
2019,մարդ,կին,7-9 տարեկան,13
2020,մարդ,կին,7-9 տարեկան,7
2015,մարդ,,10-15 տարեկան,18
2016,մարդ,,10-15 տարեկան,20
2017,մարդ,,10-15 տարեկան,15
2018,մարդ,,10-15 տարեկան,11
2019,մարդ,,10-15 տարեկան,19
2020,մարդ,,10-15 տարեկան,12
2015,մարդ,տղամարդ,10-15 տարեկան,8
2016,մարդ,տղամարդ,10-15 տարեկան,15
2017,մարդ,տղամարդ,10-15 տարեկան,6
2018,մարդ,տղամարդ,10-15 տարեկան,5
2019,մարդ,տղամարդ,10-15 տարեկան,10
2020,մարդ,տղամարդ,10-15 տարեկան,6
2015,մարդ,կին,10-15 տարեկան,10
2016,մարդ,կին,10-15 տարեկան,5
2017,մարդ,կին,10-15 տարեկան,9
2018,մարդ,կին,10-15 տարեկան,6
2019,մարդ,կին,10-15 տարեկան,9
2020,մարդ,կին,10-15 տարեկան,6
2015,մարդ,,16-17 տարեկան,3
2016,մարդ,,16-17 տարեկան,6
2017,մարդ,,16-17 տարեկան,6
2018,մարդ,,16-17 տարեկան,2
2019,մարդ,,16-17 տարեկան,14
2020,մարդ,,16-17 տարեկան,6
2015,մարդ,տղամարդ,16-17 տարեկան,3
2016,մարդ,տղամարդ,16-17 տարեկան,2
2017,մարդ,տղամարդ,16-17 տարեկան,3
2018,մարդ,տղամարդ,16-17 տարեկան,0
2019,մարդ,տղամարդ,16-17 տարեկան,7
2020,մարդ,տղամարդ,16-17 տարեկան,2
2015,մարդ,կին,16-17 տարեկան,0
2016,մարդ,կին,16-17 տարեկան,4
2017,մարդ,կին,16-17 տարեկան,3
2018,մարդ,կին,16-17 տարեկան,2
2019,մարդ,կին,16-17 տարեկան,7
2020,մարդ,կին,16-17 տարեկան,4
2021,մարդ,,,20
2021,մարդ,տղամարդ,,11
2021,մարդ,կին,,9
2021,մարդ,,մինչև 1 տարեկան,2
2021,մարդ,տղամարդ,մինչև 1 տարեկան,0
2021,մարդ,կին,մինչև 1 տարեկան,2
2021,մարդ,,1-6 տարեկան,11
2021,մարդ,տղամարդ,1-6 տարեկան,3
2021,մարդ,կին,1-6 տարեկան,8
