Year,Units,Կատեգորիա,Value
2018,%,,43.8
2019,%,,42.8
2020,%,,45.3
2018,%,կրթություն,10.1
2019,%,կրթություն,9.5
2020,%,կրթություն,9.1
2018,%,առողջապահություն,5.4
2019,%,առողջապահություն,6.0
2020,%,առողջապահություն,7.7
2018,%,սոցիալական պաշտպանություն,28.3
2019,%,սոցիալական պաշտպանություն,27.3
2020,%,սոցիալական պաշտպանություն,28.5
2021,%,,47.0
2021,%,կրթություն,9.0
2021,%,առողջապահություն,7.8
2021,%,սոցիալական պաշտպանություն,30.2
2022,%,,41.5
2022,%,կրթություն,8.9
2022,%,առողջապահություն,6.1
2022,%,սոցիալական պաշտպանություն,26.5
2023,%,,41.0
2023,%,կրթություն,8.8
2023,%,առողջապահություն,5.4
2023,%,սոցիալական պաշտպանություն,26.8
2024,%,,42.4
2024,%,կրթություն,9.3
2024,%,առողջապահություն,5.1
2024,%,սոցիալական պաշտպանություն,28.0
