Year,Policy area,Value
2019,Ոլորտ 1. Միգրանտների իրավունքները,3
2019,Domain 2.Whole of government/Evidence based policies,3
2019,Ոլորտ 3. Համագործակցություն և գործընկերություն,4
2019,Ոլորտ 4. Սոցիալ -տնտեսական բարեկեցություն,2
2019,Ոլորտ 5. Ճգնաժամերի  ընթացքում շարժունակության չափումներ,4
2019,"Ոլորտ 6. Անվտանգ, կարգավորված և կանոնավոր  միգրացիա",4
2021,Ոլորտ 1. Միգրանտների իրավունքները,3
2021,Domain 2.Whole of government/Evidence based policies,3
2021,Ոլորտ 3. Համագործակցություն և գործընկերություն,4
2021,Ոլորտ 4. Սոցիալ -տնտեսական բարեկեցություն,2
2021,Ոլորտ 5. Ճգնաժամերի  ընթացքում շարժունակության չափումներ,4
2021,"Ոլորտ 6. Անվտանգ, կարգավորված և կանոնավոր  միգրացիա",4
