Year,Units,Գտնվելու վայրը,Սեռ,Աղքատություն,Տեսակ,Քվինտիլներ,Տարիք,Value
2015,"100,000 բնակչի հաշվով",,,,,,,
2016,"100,000 բնակչի հաշվով",,,,,,,
2022,%,,,,,,,26.0
2022,%,Yerevan,,,,,,22.3
2022,%,other urban,,,,,,29.6
2022,%,,կին,,,,,26.1
2022,%,,տղամարդ,,,,,25.9
2022,%,,,ոչ աղքատ,,,,2.4
2022,%,,,աղքատ,,,,35.3
2022,%,,,ծայրահեղ աղքատ,,,,64.4
2022,%,,,,հաշմանդամներ,,,32.8
2022,%,,,,,I-ին քվինտիլ,,
2022,%,,,,,II-րդ քվինտիլ,,
2022,%,,,,,III-րդ քվինտիլ,,
2022,%,,,,,IV-րդ քվինտիլ,,
2022,%,,,,,V-րդ քվինտիլ,,
2022,%,,,,,,6-17 տարեկան,318.0
2022,%,,,,,,18-64 տարեկան,24.9
2022,%,,,,,,65 և բարձր տարիքի,23.5
2023,%,,,,,,,26.7
2023,%,Yerevan,,,,,,22.7
2023,%,other urban,,,,,,30.6
2023,%,,կին,,,,,27.0
2023,%,,տղամարդ,,,,,26.3
2023,%,,,ոչ աղքատ,,,,23.2
2023,%,,,աղքատ,,,,39.6
2023,%,,,ծայրահեղ աղքատ,,,,82.1
2023,%,,,,,,6-17 տարեկան,30.0
2023,%,,,,,,18-64 տարեկան,26.6
2023,%,,,,,,65 և բարձր տարիքի,23.0
2024,%,,,,,,,21.7
2024,%,Yerevan,,,,,,16.0
2024,%,other urban,,,,,,29.8
2024,%,,կին,,,,,22.1
2024,%,,տղամարդ,,,,,21.3
2024,%,,,ոչ աղքատ,,,,17.7
2024,%,,,աղքատ,,,,38.6
2024,%,,,ծայրահեղ աղքատ,,,,91.5
2024,%,,,,հաշմանդամներ,,,21.1
2023,%,,,,հաշմանդամներ,,,35.9
2022,%,,,,հաշմանդամներ,,,32.8
2023,%,,,,,,6-17 տարեկան,26.7
2023,%,,,,,,18-64 տարեկան,20.9
2023,%,,,,,,65 և բարձր տարիքի,18.7
