Year,Սեռ,Գտնվելու վայրը,Տարիք,Կատեգորիա,Քվինտիլներ,Ծառայություններ,Value
2015,,,,,,ջրամատակարարում,83.0
2016,,,,,,ջրամատակարարում,85.8
2017,,,,,,ջրամատակարարում,85.8
2018,,,,,,ջրամատակարարում,87.3
2019,,,,,,ջրամատակարարում,89.6
2020,,,,,,ջրամատակարարում,94.0
2021,,,,,,ջրամատակարարում,95.0
2021,տղամարդ,,,,,ջրամատակարարում,93.6
2021,կին,,,,,ջրամատակարարում,94.8
2021,,քաղաք,,,,ջրամատակարարում,97.6
2021,,գյուղ,,,,ջրամատակարարում,89.3
2021,,,0-25 տարեկան,,,ջրամատակարարում,93.7
2021,,,25-34 տարեկան,,,ջրամատակարարում,94.4
2021,,,35-44 տարեկան,,,ջրամատակարարում,94.6
2021,,,45-54 տարեկան,,,ջրամատակարարում,93.8
2021,,,55-64 տարեկան,,,ջրամատակարարում,94.8
2021,,,65 և բարձր տարիքի,,,ջրամատակարարում,94.5
2021,,,,հաշմանդամներ,,ջրամատակարարում,94.8
2021,,,,,I-ին քվինտիլ,ջրամատակարարում,91.2
2021,,,,,II-րդ քվինտիլ,ջրամատակարարում,94.7
2021,,,,,III-րդ քվինտիլ,ջրամատակարարում,94.9
2021,,,,,IV-րդ քվինտիլ,ջրամատակարարում,94.6
2021,,,,,V-րդ քվինտիլ,ջրամատակարարում,95.7
2015,,,,,,կոյուղի,72.3
2016,,,,,,կոյուղի,70.8
2017,,,,,,կոյուղի,74.2
2018,,,,,,կոյուղի,76.5
2019,,,,,,կոյուղի,94.6
2020,,,,,,կոյուղի,97.5
2021,,,,,,կոյուղի,99.0
2021,տղամարդ,,,,,կոյուղի,99.4
2021,կին,,,,,կոյուղի,99.1
2021,,քաղաք,,,,կոյուղի,99.3
2021,,գյուղ,,,,կոյուղի,99.0
2021,,,0-25 տարեկան,,,կոյուղի,99.5
2021,,,25-34 տարեկան,,,կոյուղի,99.2
2021,,,35-44 տարեկան,,,կոյուղի,99.2
2021,,,45-54 տարեկան,,,կոյուղի,99.1
2021,,,55-64 տարեկան,,,կոյուղի,99.5
2021,,,65 և բարձր տարիքի,,,կոյուղի,98.7
2021,,,,հաշմանդամներ,,կոյուղի,99.2
2021,,,,,I-ին քվինտիլ,կոյուղի,99.1
2021,,,,,II-րդ քվինտիլ,կոյուղի,99.3
2021,,,,,III-րդ քվինտիլ,կոյուղի,99.2
2021,,,,,IV-րդ քվինտիլ,կոյուղի,99.1
2021,,,,,V-րդ քվինտիլ,կոյուղի,99.4
2015,,,,,,աղբի հեռացում,78.2
2016,,,,,,աղբի հեռացում,79.8
2017,,,,,,աղբի հեռացում,76.4
2018,,,,,,աղբի հեռացում,78.7
2019,,,,,,աղբի հեռացում,82.3
2020,,,,,,աղբի հեռացում,96.4
2021,,,,,,աղբի հեռացում,97.7
2021,տղամարդ,,,,,աղբի հեռացում,98.0
2021,կին,,,,,աղբի հեռացում,97.8
2021,,քաղաք,,,,աղբի հեռացում,98.5
2021,,գյուղ,,,,աղբի հեռացում,96.9
2021,,,0-25 տարեկան,,,աղբի հեռացում,98.0
2021,,,25-34 տարեկան,,,աղբի հեռացում,97.9
2021,,,35-44 տարեկան,,,աղբի հեռացում,98.4
2021,,,45-54 տարեկան,,,աղբի հեռացում,97.3
2021,,,55-64 տարեկան,,,աղբի հեռացում,97.5
2021,,,65 և բարձր տարիքի,,,աղբի հեռացում,98.3
2021,,,,հաշմանդամներ,,աղբի հեռացում,97.5
2021,,,,,I-ին քվինտիլ,աղբի հեռացում,98.5
