Year,Units,Series,Պաշտոն,Սեռ,Տարիք,Տեսակ,Value
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,"Հանրային ծառայողների թվաքանակ, ընդամենը",կին,,,0.95
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,"Հանրային ծառայողների թվաքանակ, ընդամենը",կին,18-24,,1.51
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,"Հանրային ծառայողների թվաքանակ, ընդամենը",կին,25-34,,1.4
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,"Հանրային ծառայողների թվաքանակ, ընդամենը",կին,35-44,,0.83
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,"Հանրային ծառայողների թվաքանակ, ընդամենը",կին,45-54,,0.98
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,"Հանրային ծառայողների թվաքանակ, ընդամենը",կին,55-64,,0.81
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,"Հանրային ծառայողների թվաքանակ, ընդամենը",կին,65-74,,0.44
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,"Հանրային ծառայողների թվաքանակ, ընդամենը",կին,,Հաշմանդամություն ունեցող,0.92
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,Պետական կառավարման մարմինների ղեկավարներ և պաշտոնատար անձինք և այլ ղեկավարներ,կին,,,0.61
2024,Հարաբերություն,գ) Դատական ծառայության (ազգային և տեղական) պաշտոն զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,Ստորին ատյանի դատարաններ (1-ին ատյանի ընդհանուր իրավասության և մասնագիտացված դատարաններ),կին,,,0.62
2024,Հարաբերություն,գ) Դատական ծառայության (ազգային և տեղական) պաշտոն զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,Սահմանադրական դատարանի,կին,,,0.21
2024,Հարաբերություն,գ) Դատական ծառայության (ազգային և տեղական) պաշտոն զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,Վերադաս դատարաններ (Վճռաբեկ և վերաքննիչ),կին,,,0.59
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,Գրասենյակային ծառայողներ և ստեղնաշարով աշխատող գործավարներ,կին,,,1.2
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,Ձեռնարակատիրական գործունեության և վարչարարության միջին որակավորում ունեցող մասնագետներ,կին,,,1.15
2024,Հարաբերություն,ա) Հանրային պաշտոն (ազգային և տեղական) զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,Վարչարարության գծով բարձր որակավորում ունեցող մասնագետներ,կին,,,0.97
2024,Հարաբերություն,գ) Դատական ծառայության (ազգային և տեղական) պաշտոն զբաղեցնող անձանց համամասնությունն ըստ տարբեր բնութագրերի՝ համեմատած բնակչության համապատասխան խմբի հետ,Դատավորներ,կին,,,0.6
