Year,Series,Units,Value
2015,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.008967
2016,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.011164
2017,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.012659
2018,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.01234
2019,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.01389
2020,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.014417
2021,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.01356
2022,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.021524
2023,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.035804
2024,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքային գլոբալ արտահանման մեջ,%,0.053533
2015,Developing countries’ and least developed countries’ share of global services exports,%,0.029839
2016,Developing countries’ and least developed countries’ share of global services exports,%,0.032441
2017,Developing countries’ and least developed countries’ share of global services exports,%,0.035967
2018,Developing countries’ and least developed countries’ share of global services exports,%,0.03554
2019,Developing countries’ and least developed countries’ share of global services exports,%,0.038427
2020,Developing countries’ and least developed countries’ share of global services exports,%,0.02139
2021,Developing countries’ and least developed countries’ share of global services exports,%,0.027521
2022,Developing countries’ and least developed countries’ share of global services exports,%,0.059367
2023,Developing countries’ and least developed countries’ share of global services exports,%,0.070636
2024,Developing countries’ and least developed countries’ share of global services exports,%,0.064198
2015,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.019366
2016,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.020203
2017,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.023317
2018,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.025056
2019,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.028535
2020,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.025508
2021,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.023731
2022,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.034172
2023,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.052548
2024,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ապրանքների գլոբալ ներմուծման մեջ,%,0.068866
2015,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.032347
2016,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.031994
2017,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.034268
2018,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.0371
2019,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.04166
2020,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.02004
2021,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.023444
2022,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.039539
2023,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.045054
2024,Զարգացող երկրների և առավել թույլ զարգացած երկրների մասնաբաժինը ծառայությունների գլոբալ ներմուծման մեջ,%,0.047621
