Year,Units,Կատեգորիա,Սեռ,Value
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,6.3
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,6.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,6.2
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,5.0
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,4.7
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,5.6
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,Total,4.9
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,boy,6.5
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,boy,7.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,boy,6.8
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,boy,5.2
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,boy,5.6
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,boy,6.7
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,boy,5.5
2015,"1,000 կենդանածնի հաշվով",0-28 օրական,girl,6.0
2016,"1,000 կենդանածնի հաշվով",0-28 օրական,girl,5.1
2017,"1,000 կենդանածնի հաշվով",0-28 օրական,girl,5.6
2018,"1,000 կենդանածնի հաշվով",0-28 օրական,girl,4.7
2019,"1,000 կենդանածնի հաշվով",0-28 օրական,girl,3.7
2020,"1,000 կենդանածնի հաշվով",0-28 օրական,girl,4.5
2021,"1,000 կենդանածնի հաշվով",0-28 օրական,girl,4.3
