Year,Units,Տեսակ,Գտնվելու վայրը,Value
2015,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,,22.43
2016,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,,19.29
2017,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,,20.98
2018,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,,20.78
2019,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,,22.49
2020,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,,21.0
2015,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,գյուղ,16.8
2016,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,գյուղ,14.71
2017,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,գյուղ,15.91
2018,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,գյուղ,17.06
2019,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,գյուղ,20.92
2020,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,գյուղ,20.2
2015,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,քաղաք,25.97
2016,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,քաղաք,22.03
2017,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,քաղաք,24.29
2018,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,քաղաք,23.16
2019,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,քաղաք,23.45
2020,%,տնային տնտեսությունների օրական սպառման 10%-ը մեկ շնչի հաշվով,քաղաք,21.6
2015,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,,7.58
2016,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,,5.75
2017,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,,7.09
2018,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,,7.35
2019,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,,7.86
2020,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,,5.8
2015,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,գյուղ,3.83
2016,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,գյուղ,3.69
2017,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,գյուղ,4.56
2018,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,գյուղ,6.0
2019,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,գյուղ,8.34
2020,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,գյուղ,5.2
2015,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,քաղաք,9.95
2016,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,քաղաք,6.98
2017,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,քաղաք,8.75
2018,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,քաղաք,8.21
2019,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,քաղաք,7.56
2020,%,տնային տնտեսությունների օրական սպառման 25%-ը մեկ շնչի հաշվով,քաղաք,6.1
