Year,Units,Կրթական մակարդակ,Value
2013,%,Տարրական,99.4
2013,%,Միջին,97.5
2013,%,Ավագ,88.8
2014,%,Տարրական,99.4
2014,%,Միջին,97.6
2014,%,Ավագ,88.9
2015,%,Տարրական,99.4
2015,%,Միջին,97.6
2015,%,Ավագ,89.0
2016,%,Տարրական,99.4
2016,%,Միջին,97.6
2016,%,Ավագ,89.2
2017,%,Տարրական,99.4
2017,%,Միջին,97.7
2017,%,Ավագ,89.3
2018,%,Տարրական,99.4
2018,%,Միջին,97.7
2018,%,Ավագ,89.3
2019,%,Տարրական,99.4
2019,%,Միջին,97.7
2019,%,Ավագ,89.6
2020,%,Տարրական,99.4
2020,%,Միջին,97.8
2020,%,Ավագ,89.7
2021,%,Տարրական,99.5
2021,%,Միջին,97.8
2021,%,Ավագ,89.9
