Year,Units,Կատեգորիա,Տարիք,Գտնվելու վայրը,Value
2015,%,ընդամենը,15-24,,99.7
2015,%,,15-24,քաղաք,99.8
2015,%,,15-24,գյուղ,99.6
2015,%,տղամարդ,15-24,,99.6
2015,%,կին,15-24,,99.8
2015,%,ընդամենը,15+,,99.4
2015,%,,15+,քաղաք,99.6
2015,%,,15+,գյուղ,99.1
2015,%,տղամարդ,15+,,99.5
2015,%,կին,15+,,99.3
2022,%,ընդամենը,15-24,,99.5
2022,%,,15-24,քաղաք,99.6
2022,%,,15-24,գյուղ,99.5
2022,%,տղամարդ,15-24,,99.5
2022,%,կին,15-24,,99.5
2022,%,ընդամենը,15+,,99.6
2022,%,,15+,քաղաք,99.7
2022,%,,15+,գյուղ,99.6
2022,%,տղամարդ,15+,,99.6
2022,%,կին,15+,,99.6
