Year,Units,Indicators,Գտնվելու վայրը,Սեռ,Կատեգորիա,Value
2015,%,Proportion of households with ownership over agricultural land,,,39.7,
2015,%,Proportion of households with ownership over agricultural land,քաղաք,,,13.0
2015,%,Proportion of households with ownership over agricultural land,գյուղ,,,84.2
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,women,75.2,
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,women,միայնակ,1.6
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,women,մեկ ուրիշի հետ համատեղ,13.1
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,women,միայնակ և մեկ ուրիշի հետ համատեղ,1.0
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,men,85.7,
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,men,միայնակ,7.7
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,men,մեկ ուրիշի հետ համատեղ,26.6
2015,%,"Proportion of population age 15-49 with ownership (alone, jointly with someone else or both alone and jointly with someone else) over agricultural or non-agricultural land, who have a title deed and their name is listed on the title deed",,men,միայնակ և մեկ ուրիշի հետ համատեղ,0.5
