Year,Units,Պրոքսի E,Value
2015,Կիրառելի պրոքսիների քանակը,Not available,3
2016,Կիրառելի պրոքսիների քանակը,Not available,3
2017,Կիրառելի պրոքսիների քանակը,Not available,3
2018,Կիրառելի պրոքսիների քանակը,Not available,3
2019,Կիրառելի պրոքսիների քանակը,Not available,3
2020,Կիրառելի պրոքսիների քանակը,Not available,3
2021,Կիրառելի պրոքսիների քանակը,Not available,3
2022,Կիրառելի պրոքսիների քանակը,Not available,3
2023,Կիրառելի պրոքսիների քանակը,Not available,3
2024,Կիրառելի պրոքսիների քանակը,Not available,3
