Year,Units,Գտնվելու վայրը,Value
2015,%,,96.0
2016,%,,97.0
2017,%,,97.0
2018,%,,98.0
2019,%,,97.0
2020,%,,99.3
2021,%,,99.3
2015,%,քաղաք,96.0
2016,%,քաղաք,97.0
2017,%,քաղաք,97.0
2018,%,քաղաք,98.0
2019,%,քաղաք,97.0
2020,%,քաղաք,99.2
2021,%,քաղաք,89.9
2015,%,գյուղ,97.0
2016,%,գյուղ,97.0
2017,%,գյուղ,97.0
2018,%,գյուղ,98.0
2019,%,գյուղ,97.0
2020,%,գյուղ,99.6
2021,%,գյուղ,99.9
2022,%,,98.2
2022,%,քաղաք,97.8
2022,%,գյուղ,99.0
2023,%,,98.9
2023,%,քաղաք,98.7
2023,%,գյուղ,99.1
2024,%,,98.3
2024,%,քաղաք,98.3
2024,%,գյուղ,98.3
