Year,Units,Sector,Value
2017,Unit,Նպաստող միջավայր,42
2017,Unit,Հաստատություններ և մասնակցություն,40
2017,Unit,Կառավարման գործիքներ,28
2017,Unit,Ֆինանսավորում,34
2017,Unit,ԿԶՆ 6.5.1,36
2020,Unit,Նպաստող միջավայր,61
2020,Unit,Հաստատություններ և մասնակցություն,46
2020,Unit,Կառավարման գործիքներ,47
2020,Unit,Ֆինանսավորում,54
2020,Unit,ԿԶՆ 6.5.1,52
2023,Unit,Նպաստող միջավայր,50
2023,Unit,Հաստատություններ և մասնակցություն,43
2023,Unit,Կառավարման գործիքներ,46
2023,Unit,Ֆինանսավորում,44
2023,Unit,ԿԶՆ 6.5.1,46
