Year,Units,Կատեգորիա,Տարիք,Սեռ,Գտնվելու վայրը,Value
2015,%,,,,,34.5
2016,%,,,,,34.6
2017,%,,,,,34.6
2018,%,,,,,32.7
2019,%,,,,,31.0
2020,%,,,,,31.0
2015,%,,,տղամարդ,,23.5
2016,%,,,տղամարդ,,22.7
2017,%,,,տղամարդ,,23.4
2018,%,,,տղամարդ,,21.2
2019,%,,,տղամարդ,,20.8
2020,%,,,տղամարդ,,22.6
2015,%,,,կին,,44.6
2016,%,,,կին,,46.5
2017,%,,,կին,,45.9
2018,%,,,կին,,44.0
2019,%,,,կին,,41.6
2020,%,,,կին,,39.9
2015,%,,,,քաղաք,36.1
2016,%,,,,քաղաք,35.7
2017,%,,,,քաղաք,35.9
2018,%,,,,քաղաք,30.8
2019,%,,,,քաղաք,30.2
2020,%,,,,քաղաք,28.0
2015,%,,,,գյուղ,32.2
2016,%,,,,գյուղ,32.9
2017,%,,,,գյուղ,32.7
2018,%,,,,գյուղ,34.9
2019,%,,,,գյուղ,32.2
2020,%,,,,գյուղ,34.9
2015,%,,15-19,,,13.1
2016,%,,15-19,,,14.2
2017,%,,15-19,,,15.6
2018,%,,15-19,,,11.3
2019,%,,15-19,,,8.6
2020,%,,15-19,,,9.5
2015,%,,15-19,տղամարդ,,9.8
2016,%,,15-19,տղամարդ,,11.3
2017,%,,15-19,տղամարդ,,12.0
2018,%,,15-19,տղամարդ,,7.3
2019,%,,15-19,տղամարդ,,5.4
2020,%,,15-19,տղամարդ,,6.8
2015,%,,15-19,կին,,16.6
2016,%,,15-19,կին,,17.7
2017,%,,15-19,կին,,20.2
2018,%,,15-19,կին,,14.9
2019,%,,15-19,կին,,12.3
2020,%,,15-19,կին,,12.4
2015,%,,20-24,,,39.5
2016,%,,20-24,,,40.9
2017,%,,20-24,,,40.3
2018,%,,20-24,,,37.8
2019,%,,20-24,,,36.3
2020,%,,20-24,,,36.2
2015,%,,20-24,տղամարդ,,29.3
2016,%,,20-24,տղամարդ,,27.8
2017,%,,20-24,տղամարդ,,29.7
2018,%,,20-24,տղամարդ,,24.6
2019,%,,20-24,տղամարդ,,29.3
2020,%,,20-24,տղամարդ,,28.1
2015,%,,20-24,կին,,48.4
2016,%,,20-24,կին,,52.7
2017,%,,20-24,կին,,50.1
2018,%,,20-24,կին,,50.4
2019,%,,20-24,կին,,43.5
2020,%,,20-24,կին,,44.9
2015,%,,15-24,,,27.5
2016,%,,15-24,,,28.5
2017,%,,15-24,,,28.7
2018,%,,15-24,,,25.7
2019,%,,15-24,,,23.3
2020,%,,15-24,,,23.0
2015,%,,15-24,տղամարդ,,20.0
2016,%,,15-24,տղամարդ,,19.5
2017,%,,15-24,տղամարդ,,20.7
2018,%,,15-24,տղամարդ,,16.8
2019,%,,15-24,տղամարդ,,17.8
2020,%,,15-24,տղամարդ,,17.5
2015,%,,15-24,կին,,34.8
2016,%,,15-24,կին,,37.8
2017,%,,15-24,կին,,37.5
2018,%,,15-24,կին,,34.1
2019,%,,15-24,կին,,29.3
2020,%,,15-24,կին,,28.8
2015,%,,25-29,,,46.7
2016,%,,25-29,,,45.1
2017,%,,25-29,,,44.5
2018,%,,25-29,,,43.8
2019,%,,25-29,,,43.0
2020,%,,25-29,,,44.5
2015,%,,25-29,տղամարդ,,30.1
2016,%,,25-29,տղամարդ,,28.5
2017,%,,25-29,տղամարդ,,28.4
2018,%,,25-29,տղամարդ,,27.7
2019,%,,25-29,տղամարդ,,25.7
2020,%,,25-29,տղամարդ,,31.3
2015,%,,25-29,կին,,60.8
2016,%,,25-29,կին,,60.4
2017,%,,25-29,կին,,59.1
2018,%,,25-29,կին,,60.6
2019,%,,25-29,կին,,59.7
2020,%,,25-29,կին,,58.0
2021,%,,,,,28.3
2021,%,,,տղամարդ,,19.2
2021,%,,,կին,,37.3
2021,%,,,,քաղաք,27.0
2021,%,,,,գյուղ,30.0
2021,%,,15-19,,,6.6
2021,%,,15-19,տղամարդ,,6.8
2021,%,,15-19,կին,,6.3
2021,%,,20-24,,,35.1
2021,%,,20-24,տղամարդ,,26.6
2021,%,,20-24,կին,,43.4
2021,%,,15-24,,,20.3
2021,%,,15-24,տղամարդ,,16.2
2021,%,,15-24,կին,,24.6
2021,%,,25-29,,,41.6
2021,%,,25-29,տղամարդ,,24.6
2021,%,,25-29,կին,,57.1
2018,%,հաշմանդամություն ունեցող,,,,54.6
2019,%,հաշմանդամություն ունեցող,,,,56.4
2020,%,հաշմանդամություն ունեցող,,,,52.3
2021,%,հաշմանդամություն ունեցող,,,,63.0
2022,%,հաշմանդամություն ունեցող,,,,60.9
2022,%,,,,,25.9
2022,%,,15-19,,,8.0
2022,%,,15-19,տղամարդ,,7.4
2022,%,,15-19,կին,,8.8
2022,%,,20-24,,,31.1
2022,%,,20-24,տղամարդ,,20.0
2022,%,,20-24,կին,,43.2
2022,%,,15-24,,,19.0
2022,%,,15-24,տղամարդ,,13.2
2022,%,,15-24,կին,,25.5
2022,%,,25-29,,,38.6
2022,%,,25-29,տղամարդ,,20.7
2022,%,,25-29,կին,,55.4
2022,%,,,,քաղաք,24.6
2022,%,,,,գյուղ,28.1
2022,%,,,տղամարդ,,15.7
2022,%,,,կին,,36.8
2023,%,,,,,24.4
2023,%,,15-19,,,8.4
2023,%,,15-19,տղամարդ,,6.6
2023,%,,15-19,կին,,10.3
2023,%,,20-24,,,25.9
2023,%,,20-24,տղամարդ,,21.3
2023,%,,20-24,կին,,31.3
2023,%,,15-24,,,16.9
2023,%,,15-24,տղամարդ,,13.8
2023,%,,15-24,կին,,20.3
2023,%,,25-29,,,37.6
2023,%,,25-29,տղամարդ,,20.9
2023,%,,25-29,կին,,55.9
2023,%,,,,քաղաք,23.4
2023,%,,,,գյուղ,26.0
2023,%,,,տղամարդ,,16.4
2023,%,,,կին,,33.3
2023,%,հաշմանդամություն ունեցող,,,,54.3
2024,%,,,,,23.3
2024,%,,15-19,,,6.9
