Year,Units,Սեռ,Employed,Value
2020,ընդամենը,,number of employees,53761
2020,ընդամենը,,,76067
2020,ընդամենը,,number of non-employees,22306
2020,ընդամենը,տղամարդ,,50998
2020,ընդամենը,կին,,25068
2020,,կին,number of employees,24121
2020,,կին,number of non-employees,947
2020,,տղամարդ,number of employees,29640
2020,,տղամարդ,number of non-employees,21358
2021,ընդամենը,,,69806
2021,ընդամենը,տղամարդ,,42008
2021,ընդամենը,կին,,27797
2021,ընդամենը,,number of employees,53015
2021,ընդամենը,,number of non-employees,16791
2021,,կին,number of employees,27024
2021,,կին,number of non-employees,773
2021,,տղամարդ,number of employees,25991
2021,,տղամարդ,number of non-employees,16017
2022,ընդամենը,,,80374
2022,ընդամենը,կին,,29630
2022,ընդամենը,տղամարդ,,50744
2022,ընդամենը,,number of employees,61398
2022,ընդամենը,,number of non-employees,18976
2022,,կին,number of employees,27807
2022,,կին,number of non-employees,1823
2022,,տղամարդ,number of employees,33591
2022,,տղամարդ,number of non-employees,17153
2023,ընդամենը,,,89491
2023,ընդամենը,կին,,32065
2023,ընդամենը,տղամարդ,,57426
2023,ընդամենը,,number of employees,62351
2023,ընդամենը,,number of non-employees,27140
2023,,կին,number of employees,28831
2023,,կին,number of non-employees,3234
2023,,տղամարդ,number of employees,33520
2023,,տղամարդ,number of non-employees,23906
