Year,Ցուցանիշ,Units,Value
2015,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.25
2016,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.24
2017,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.22
2018,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.18
2019,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.18
2020,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.2
2021,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.21
2022,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.2
2023,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.17
2024,Գիտատեխնիկական աշխատանքների ծավալի և հետազոտությունների ու մշակումների վրա պետական բյուջեից կատարված համախառն ծախսերի մասնաբաժինները ՀՆԱ-ի նկատմամբ ըստ ցուցանիշների և տարիների,%,0.22
