Year,Ցուցանիշ,Units,Value
2015,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1283.4
2016,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1230.5
2017,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1204.3
2018,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1139.8
2019,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1134.9
2020,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1177.8
2021,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1257.8
2022,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1267.0
2023,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1263.0
2024,Պետական բյուջեի ֆինանսավորմամբ գիտահետազոտական աշխատանքներ իրականացնող հետազոտողների թիվը (լրիվ դրույքի համարժեքով) մեկ միլիոն բնակչի հաշվով,մեկ մլն. բնակչի հաշվով,1078.6
