Year,Value,Units
2015,11.5,"100,000 բնակչի հաշվով"
2016,8.9,"100,000 բնակչի հաշվով"
2017,9.4,"100,000 բնակչի հաշվով"
2018,11.6,"100,000 բնակչի հաշվով"
2019,11.5,"100,000 բնակչի հաշվով"
2020,11.8,"100,000 բնակչի հաշվով"
2015,346.0,մարդ
2016,267.0,մարդ
2017,279.0,մարդ
2018,343.0,մարդ
2019,341.0,մարդ
2020,348.0,մարդ
2021,368.0,մարդ
2021,12.4,"100,000 բնակչի հաշվով"
2022,321.0,մարդ
2022,10.8,"100,000 բնակչի հաշվով"
2023,12.8,"100,000 բնակչի հաշվով"
2023,378.0,մարդ
2024,11.0,"100,000 բնակչի հաշվով"
2024,333.0,մարդ
