Year,Value,Units,Series
2015,1.22,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2016,1.4,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2017,1.4,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2018,1.4,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2019,1.4,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2020,1.4,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2021,1.4,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2022,1.4,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2023,0.73,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
2024,0.73,կոդավորված գնահատման չափանիշների քանակը,Level of national compliance with labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation
