Year,Индикатор,Units,Пол,Категория,Возраст,Value
2015,The share of pensioners to the total number of population at the end of the year,%,,,,15.53
2016,The share of pensioners to the total number of population at the end of the year,%,,,,15.69
2017,The share of pensioners to the total number of population at the end of the year,%,,,,15.41
2018,The share of pensioners to the total number of population at the end of the year,%,,,,15.62
2019,The share of pensioners to the total number of population at the end of the year,%,,,,15.76
2020,The share of pensioners to the total number of population at the end of the year,%,,,,15.76
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,12.73
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,12.93
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,12.74
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,12.97
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,13.14
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,,,13.15
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,,,18.09
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,,,18.19
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,,,17.82
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,,,17.99
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,,,18.11
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,,,18.09
2015,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,10.19
2016,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,10.33
2017,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,10.52
2018,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,10.88
2019,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,11.15
2020,The share of pensioners to the total number of population at the end of the year,%,,возрастные,,11.29
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,7.93
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,8.09
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,8.3
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,8.65
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,8.93
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,возрастные,,9.08
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,12.25
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,12.36
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,12.53
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,12.88
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,13.14
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,возрастные,,13.18
2015,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.09
2016,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.08
2017,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.08
2018,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.07
2019,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.06
2020,The share of pensioners to the total number of population at the end of the year,%,,на льготных условиях,,0.05
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.14
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.13
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.12
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.11
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.09
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,на льготных условиях,,0.08
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.05
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.05
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.04
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.03
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.03
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,на льготных условиях,,0.03
2015,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.02
2017,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.02
2018,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,,за выслугу лет,,0.01
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.03
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.03
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,за выслугу лет,,0.02
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.04
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.02
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.01
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.01
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.01
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,за выслугу лет,,0.01
2015,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.5
2016,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.49
2017,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.47
2018,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.44
2019,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.41
2020,The share of pensioners to the total number of population at the end of the year,%,,частичные,,0.37
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.11
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.11
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.1
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.09
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.09
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,частичные,,0.07
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.85
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.83
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.8
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.76
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.7
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,частичные,,0.64
2015,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,4.28
2016,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,4.35
2017,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,3.93
2018,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,3.84
2019,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,3.78
2020,The share of pensioners to the total number of population at the end of the year,%,,по инвалидности,,3.7
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,4.13
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,4.19
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,3.82
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,3.74
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,3.68
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,по инвалидности,,3.59
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,4.41
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,4.48
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,4.02
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,3.92
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,3.88
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,по инвалидности,,3.81
2015,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.36
2016,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.34
2017,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.31
2018,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.29
2019,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.26
2020,The share of pensioners to the total number of population at the end of the year,%,,в случае потери кормильца,,0.25
2015,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.21
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.21
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.19
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.18
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.16
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,в случае потери кормильца,,0.15
2015,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.49
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.45
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.42
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.39
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.35
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,в случае потери кормильца,,0.33
2016,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.01
2017,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.02
2018,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.02
2019,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.02
2020,The share of pensioners to the total number of population at the end of the year,%,,установленные по другим законам,,0.02
2016,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.01
2017,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.04
2018,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.04
2019,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.04
2020,The share of pensioners to the total number of population at the end of the year,%,мужчина,установленные по другим законам,,0.05
2016,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.002
2017,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.004
2018,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.004
2019,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.004
2020,The share of pensioners to the total number of population at the end of the year,%,женщина,установленные по другим законам,,0.004
2015,The share of pensioners to the total number of population at the end of the year,%,,связанные с военной службой,,0.08
