Year,Units,тип бедствия,Value
2015,"на 100,000 населения",,445.4
2016,"на 100,000 населения",,506.6
2017,"на 100,000 населения",,444.1
2018,"на 100,000 населения",,436.4
2019,"на 100,000 населения",,608.9
2020,"на 100,000 населения",,5930.6
2015,"на 100,000 населения",стихийные опасные явления,43.5
2016,"на 100,000 населения",стихийные опасные явления,177.1
2017,"на 100,000 населения",стихийные опасные явления,67.0
2018,"на 100,000 населения",стихийные опасные явления,3.7
2019,"на 100,000 населения",стихийные опасные явления,91.5
2020,"на 100,000 населения",стихийные опасные явления,65.4
2015,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,172.9
2016,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,168.6
2017,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,190.8
2018,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,239.5
2019,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,272.1
2020,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,227.8
2015,"на 100,000 населения",социально-биологические чрезвычайные происшествия,229.0
2016,"на 100,000 населения",социально-биологические чрезвычайные происшествия,160.9
2017,"на 100,000 населения",социально-биологические чрезвычайные происшествия,186.3
2018,"на 100,000 населения",социально-биологические чрезвычайные происшествия,193.3
2019,"на 100,000 населения",социально-биологические чрезвычайные происшествия,245.3
2020,"на 100,000 населения",социально-биологические чрезвычайные происшествия,5643.4
2021,"на 100,000 населения",,6678.2
2021,"на 100,000 населения",стихийные опасные явления,35.2
2021,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,260.3
2021,"на 100,000 населения",социально-биологические чрезвычайные происшествия,6382.7
2022,"на 100,000 населения",,4135.3
2022,"на 100,000 населения",стихийные опасные явления,114.4
2022,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,249.5
2022,"на 100,000 населения",социально-биологические чрезвычайные происшествия,3771.4
2023,"на 100,000 населения",,740.4
2023,"на 100,000 населения",стихийные опасные явления,173.9
2023,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,256.3
2023,"на 100,000 населения",социально-биологические чрезвычайные происшествия,310.3
2024,"на 100,000 населения",,653.8
2024,"на 100,000 населения",стихийные опасные явления,224.2
2024,"на 100,000 населения",Տեխնածին արտակարգ դեպքեր,234.6
2024,"на 100,000 населения",социально-биологические чрезвычайные происшествия,195.0
