Year,Units,Место нахождения,Пол,Бедность,Тип,Квинтили,Возраст,Value
2015,"на 100,000 населения",,,,,,,
2016,"на 100,000 населения",,,,,,,
2022,%,,,,,,,26.0
2022,%,Yerevan,,,,,,22.3
2022,%,other urban,,,,,,29.6
2022,%,,женщина,,,,,26.1
2022,%,,мужчина,,,,,25.9
2022,%,,,не бедный,,,,2.4
2022,%,,,бедный,,,,35.3
2022,%,,,крайне бедный,,,,64.4
2022,%,,,,инвалиды,,,32.8
2022,%,,,,,I-й квинтиль,,
2022,%,,,,,II-ой квинтиль,,
2022,%,,,,,III-й квинтиль,,
2022,%,,,,,IV-й квинтиль,,
2022,%,,,,,V-й квинтиль,,
2022,%,,,,,,6-17 лет,318.0
2022,%,,,,,,18-64 лет,24.9
2022,%,,,,,,65 и более лет,23.5
2023,%,,,,,,,26.7
2023,%,Yerevan,,,,,,22.7
2023,%,other urban,,,,,,30.6
2023,%,,женщина,,,,,27.0
2023,%,,мужчина,,,,,26.3
2023,%,,,не бедный,,,,23.2
2023,%,,,бедный,,,,39.6
2023,%,,,крайне бедный,,,,82.1
2023,%,,,,,,6-17 лет,30.0
2023,%,,,,,,18-64 лет,26.6
2023,%,,,,,,65 и более лет,23.0
2024,%,,,,,,,21.7
2024,%,Yerevan,,,,,,16.0
2024,%,other urban,,,,,,29.8
2024,%,,женщина,,,,,22.1
2024,%,,мужчина,,,,,21.3
2024,%,,,не бедный,,,,17.7
2024,%,,,бедный,,,,38.6
2024,%,,,крайне бедный,,,,91.5
2024,%,,,,инвалиды,,,21.1
2023,%,,,,инвалиды,,,35.9
2022,%,,,,инвалиды,,,32.8
2023,%,,,,,,6-17 лет,26.7
2023,%,,,,,,18-64 лет,20.9
2023,%,,,,,,65 и более лет,18.7
