Year,Units,Категория,Value
2015,млн. драм,материальное потребление,2773103.4
2016,млн. драм,материальное потребление,2732252.3
2017,млн. драм,материальное потребление,3120625.2
2018,млн. драм,материальное потребление,3378262.0
2019,млн. драм,материальное потребление,3840591.8
2020,млн. драм,материальное потребление,3277167.4
2015,драм,внутреннее материальное потребление на душу населения,922952.6
2016,драм,внутреннее материальное потребление на душу населения,913094.4
2017,драм,внутреннее материальное потребление на душу населения,1047400.6
2018,драм,внутреннее материальное потребление на душу населения,1137845.1
2019,драм,внутреннее материальное потребление на душу населения,1296402.3
2020,драм,внутреннее материальное потребление на душу населения,1106590.4
2015,%,внутреннее материальное потребление к ВВП,55.0
2016,%,внутреннее материальное потребление к ВВП,53.9
2017,%,внутреннее материальное потребление к ВВП,56.1
2018,%,внутреннее материальное потребление к ВВП,56.1
2019,%,внутреннее материальное потребление к ВВП,58.7
2020,%,внутреннее материальное потребление к ВВП,53.0
2021,млн. драм,материальное потребление,3513718.1
2021,драм,внутреннее материальное потребление на душу населения,1186145.3
2021,%,внутреннее материальное потребление к ВВП,50.3
2022,млн. драм,материальное потребление,3999106.0
2022,драм,внутреннее материальное потребление на душу населения,1365068.9
2022,%,внутреннее материальное потребление к ВВП,47.0
2023,млн. драм,материальное потребление,4428850.6
2023,драм,внутреннее материальное потребление на душу населения,1494062.9
2023,%,внутреннее материальное потребление к ВВП,46.7
2024,млн. драм,материальное потребление,4899844.8
2024,драм,внутреннее материальное потребление на душу населения,1615138.2
2024,%,внутреннее материальное потребление к ВВП,48.1
2025,млн. драм,материальное потребление,5662020.4
2025,драм,внутреннее материальное потребление на душу населения,1834328.0
2025,%,внутреннее материальное потребление к ВВП,50.0
