Year,Тип,Units,Value
2015,Образование опасных отходов,кг на душу населения,20.7
2015,Передано другим организациям,%,37.8
2015,Обезврежено и уничтожено организациями,%,0.7
2015,Использовано организациями,%,9.6
2015,Размещено в местах накопления отходов средствами организаций,%,51.8
2016,Образование опасных отходов,кг на душу населения,38.7
2016,Передано другим организациям,%,68.4
2016,Обезврежено и уничтожено организациями,%,0.7
2016,Использовано организациями,%,14.0
2016,Размещено в местах накопления отходов средствами организаций,%,17.0
2017,Образование опасных отходов,кг на душу населения,14.7
2017,Передано другим организациям,%,52.8
2017,Обезврежено и уничтожено организациями,%,1.4
2017,Использовано организациями,%,3.9
2017,Размещено в местах накопления отходов средствами организаций,%,42.0
2018,Образование опасных отходов,кг на душу населения,13.8
2018,Передано другим организациям,%,60.8
2018,Обезврежено и уничтожено организациями,%,4.0
2018,Использовано организациями,%,10.5
2018,Размещено в местах накопления отходов средствами организаций,%,24.7
2019,Образование опасных отходов,кг на душу населения,33.0
2019,Передано другим организациям,%,68.1
2019,Обезврежено и уничтожено организациями,%,1.0
2019,Использовано организациями,%,16.6
2019,Размещено в местах накопления отходов средствами организаций,%,14.3
2020,Образование опасных отходов,кг на душу населения,8431.3
2020,Передано другим организациям,%,0.4
2020,Обезврежено и уничтожено организациями,%,0.0
2020,Использовано организациями,%,0.1
2020,Размещено в местах накопления отходов средствами организаций,%,99.5
