Year,Units,Пол,Категория,Возраст,Value
2023,%,,,,0.84
2023,%,мужчина,,,0.85
2023,%,женщина,,,0.82
2023,%,,,0-17 лет,0.001
2023,%,мужчина,,0-17 лет,0.001
2023,%,женщина,,0-17 лет,0.001
2023,%,,,18-44 лет,0.001
2023,%,мужчина,,18-44 лет,0.001
2023,%,женщина,,18-44 лет,0.001
2023,%,,,45-64 лет,0.001
2023,%,мужчина,,45-64 лет,0.001
2023,%,женщина,,45-64 лет,0.0
2023,%,,,65 и более лет,0.399
2023,%,мужчина,,65 и более лет,0.0
2023,%,женщина,,65 и более лет,0.663
2023,%,,work  exploitation,,0.001
2023,%,мужчина,work  exploitation,,0.001
2023,%,женщина,work  exploitation,,0.0
2023,%,,sexual  exploitation,,0.0002
2023,%,мужчина,sexual  exploitation,,0.0001
2023,%,женщина,sexual  exploitation,,0.0004
