Year,Series,Units,Type of product,Value
2015,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,7.55242
2015,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,4.89951
2015,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,9.97441
2015,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,3.6978
2015,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,6.24799
2016,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,5.74143
2016,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,3.26286
2016,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,6.74882
2016,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,2.46659
2016,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,4.05204
2017,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,6.21505
2017,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,3.09281
2017,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,6.96545
2017,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,2.06127
2017,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,5.11502
2018,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,9.71299
2018,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,5.14403
2018,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,8.26582
2018,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,3.79063
2018,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,7.11821
2019,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,7.3885
2019,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,4.38549
2019,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,8.82286
2019,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,3.44225
2019,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,6.79576
2020,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,5.47629
2020,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,3.84105
2020,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,7.46409
2020,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,3.22311
2020,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,6.29699
2021,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,6.53361
2021,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,3.87972
2021,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,6.26667
2021,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,3.08485
2021,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,6.38789
2022,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,6.62489
2022,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,4.63154
2022,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,6.207
2022,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,4.1417
2022,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,6.63173
2023,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,8.95126
2023,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,5.03499
2023,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,5.22401
2023,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,4.50981
2023,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,5.88507
2024,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,AGR,9.03306
2024,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,ALP,5.04811
2024,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,CLO,5.4059
2024,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,IND,4.50879
2024,"Средневзвешенный мировой тарифный показатель, статус наиболее благоприятствуемой нации, по видам продукта",%,TEX,5.87687
2015,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,5.36904
2015,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,4.15034
2015,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,9.89065
2015,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,3.39846
2015,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,6.07413
2016,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,3.57893
2016,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,2.65609
2016,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,6.70058
2016,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,2.23552
2016,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,3.92339
2017,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,3.62078
2017,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,2.47709
2017,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,6.79927
2017,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,1.89112
2017,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,4.99654
2018,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,5.33275
2018,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,4.1383
2018,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,8.05507
2018,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,3.54278
2018,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,6.98572
2019,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,4.39094
2019,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,3.709
2019,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,8.64041
2019,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,3.2479
2019,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,6.54887
2020,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,3.58908
2020,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,3.3207
2020,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,7.15782
2020,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,3.02274
2020,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,5.98041
2021,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,4.04394
2021,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,3.17115
2021,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,6.0626
2021,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,2.77681
2021,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,5.84742
2022,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,4.79089
2022,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,4.17103
2022,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,6.08212
2022,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,3.9405
2022,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,6.11269
2023,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,5.90335
2023,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,4.54146
2023,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,5.08059
2023,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,4.3226
2023,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,5.51293
2024,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,AGR,5.86872
2024,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,ALP,4.53426
2024,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,CLO,5.25405
2024,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,IND,4.31248
2024,"Средневзвешенный мировой тарифный показатель, преференциальный статус, по видам продукта",%,TEX,5.50415
