Year,Индикатор,Units,Value
2015,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,184.1
2016,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,333.8
2017,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,252.7
2018,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,266.9
2019,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,100.3
2020,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,58.6
2021,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,366.4
2022,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,975.7
2023,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,580.4
2024,Приток прямых иностранных инвестиций (ПИИ) (млн. долларов США),млн. долл. США,131.6
