Year,Units,Категория,Value
2017,число,Plant genetic resources accessions stored ex situ,6918
2018,число,Plant genetic resources accessions stored ex situ,6918
2019,число,Plant genetic resources accessions stored ex situ,6918
2023,число,Plant genetic resources accessions stored ex situ,6830
2024,число,Plant genetic resources accessions stored ex situ,6830
2016,число,Plant genetic resources accessions stored ex situ,6789
2021,число,Plant genetic resources accessions stored ex situ,6458
2022,число,Plant genetic resources accessions stored ex situ,6458
2020,число,Plant genetic resources accessions stored ex situ,4297
2015,число,Number of transboundary breeds (including extinct ones),25
2016,число,Number of transboundary breeds (including extinct ones),25
2017,число,Number of transboundary breeds (including extinct ones),25
2018,число,Number of transboundary breeds (including extinct ones),25
2019,число,Number of transboundary breeds (including extinct ones),25
2020,число,Number of transboundary breeds (including extinct ones),25
2021,число,Number of transboundary breeds (including extinct ones),25
2022,число,Number of transboundary breeds (including extinct ones),25
2023,число,Number of transboundary breeds (including extinct ones),25
2024,число,Number of transboundary breeds (including extinct ones),25
2025,число,Number of transboundary breeds (including extinct ones),25
2015,число,Number of local breeds kept in the country,14
2016,число,Number of local breeds kept in the country,14
2017,число,Number of local breeds kept in the country,14
2018,число,Number of local breeds kept in the country,14
2019,число,Number of local breeds kept in the country,14
2020,число,Number of local breeds kept in the country,14
2021,число,Number of local breeds kept in the country,14
2022,число,Number of local breeds kept in the country,14
2023,число,Number of local breeds kept in the country,14
2024,число,Number of local breeds kept in the country,14
2025,число,Number of local breeds kept in the country,14
