Year,Series,Units,Value
2015,Количество местных пород с неизвестным статусом риска,число,13
2016,Количество местных пород с неизвестным статусом риска,число,13
2017,Количество местных пород с неизвестным статусом риска,число,13
2018,Количество местных пород с неизвестным статусом риска,число,13
2019,Количество местных пород с неизвестным статусом риска,число,13
2020,Количество местных пород с неизвестным статусом риска,число,13
2021,Количество местных пород с неизвестным статусом риска,число,13
2022,Количество местных пород с неизвестным статусом риска,число,13
2023,Количество местных пород с неизвестным статусом риска,число,13
2024,Количество местных пород с неизвестным статусом риска,число,13
2025,Количество местных пород с неизвестным статусом риска,число,13
2015,Количество местных пород (не вымерших),число,13
2016,Количество местных пород (не вымерших),число,13
2017,Количество местных пород (не вымерших),число,13
2018,Количество местных пород (не вымерших),число,13
2019,Количество местных пород (не вымерших),число,13
2020,Количество местных пород (не вымерших),число,13
2021,Количество местных пород (не вымерших),число,13
2022,Количество местных пород (не вымерших),число,13
2023,Количество местных пород (не вымерших),число,13
2024,Количество местных пород (не вымерших),число,13
2025,Количество местных пород (не вымерших),число,13
2015,Количество трансграничных пород (не вымерших),число,24
2016,Количество трансграничных пород (не вымерших),число,24
2017,Количество трансграничных пород (не вымерших),число,24
2018,Количество трансграничных пород (не вымерших),число,24
2019,Количество трансграничных пород (не вымерших),число,24
2020,Количество трансграничных пород (не вымерших),число,24
2021,Количество трансграничных пород (не вымерших),число,24
2022,Количество трансграничных пород (не вымерших),число,24
2023,Количество трансграничных пород (не вымерших),число,24
2024,Количество трансграничных пород (не вымерших),число,24
2025,Количество трансграничных пород (не вымерших),число,24
2015,Количество трансграничных пород с неизвестным статусом риска,число,24
2016,Количество трансграничных пород с неизвестным статусом риска,число,24
2017,Количество трансграничных пород с неизвестным статусом риска,число,24
2018,Количество трансграничных пород с неизвестным статусом риска,число,24
2019,Количество трансграничных пород с неизвестным статусом риска,число,24
2020,Количество трансграничных пород с неизвестным статусом риска,число,24
2021,Количество трансграничных пород с неизвестным статусом риска,число,24
2022,Количество трансграничных пород с неизвестным статусом риска,число,24
2023,Количество трансграничных пород с неизвестным статусом риска,число,24
2024,Количество трансграничных пород с неизвестным статусом риска,число,24
2025,Количество трансграничных пород с неизвестным статусом риска,число,24
